Year,Full Name,AI_AN Prev Cases,AI_AN Prev Rates,Asian Prev Cases,Asian Prev Rates,Black Prev Cases,Black Prev Rates,Latino Prev Cases,Latino Prev Rates,Multi Prev Cases,Multi Prev Rates,NH_OPI Prev Cases,NH_OPI Prev Rates,White Prev Cases,White Prev Rates
2009,Massachusetts,19,169.3,219,81.2,4705,1478.7,4140,943.1,341,662.7,1,43,7186,160.1
2009,Michigan,26,57.1,55,29,7330,652.4,672,222.1,546,578.9,3,131.1,4359,66.4
2009,Minnesota,89,200,84,56.4,1994,1129.1,591,391.7,229,503.9,3,142.9,3284,86.7
2009,Mississippi,10,92.6,9,44.9,5616,657.1,223,420,349,2283.4,1,146,1542,106.9
2009,Missouri,4,17.8,35,49.3,4259,790.3,567,400.5,426,806.7,2,60.2,5024,121.6
2009,Montana,19,41.8,0,0,6,148.3,17,78.7,15,139.5,0,0,274,37.5
2009,Nebraska,18,156,15,65.6,398,665.7,211,210.6,47,384.5,1,105.8,830,65.9
2009,Nevada,31,140.3,116,80.4,1356,855.1,1384,277.4,241,608.5,10,104.1,3161,249.1
2009,New Hampshire,0,0,7,35.1,127,1129.1,139,519.6,42,485.5,0,0,732,69.4
2009,New Jersey,10,86.3,231,42.1,15769,1688.4,8857,793.1,2496,3944.9,6,210,6596,144.2
2009,New Mexico,150,109.9,6,28.4,111,325.1,1096,155,58,326.9,1,85.9,834,116
2009,New York,44,85.1,1130,99.8,42494,1795.8,40598,1582.6,9536,6009.7,11,146.8,21381,211.1
2009,North Carolina,134,156.9,72,48.5,14498,897.7,1496,315.9,941,1509.6,5,132.6,5631,105.7
2009,North Dakota,7,27.3,1,23.9,24,464.8,8,77.4,10,214.5,0,0,124,25.1
2009,Ohio,11,53.1,50,34.2,6714,613.5,982,426.1,697,777.7,1,40.3,7639,95.1
2009,Oklahoma,227,101.4,21,41.8,999,445.5,412,199.5,272,275.4,5,208.1,2620,118.6
2009,Oregon,38,104.9,71,61.7,309,584.5,610,207.1,147,246.6,10,124.6,3517,133.7
2009,Pennsylvania,18,116,132,52.6,13669,1299.4,4450,962.6,1599,2165.4,15,521.2,8739,99.3
2009,Rhode Island,8,237,27,116.9,462,1092.8,516,546.4,55,612.8,1,203.3,897,124.3
2009,South Carolina,7,52.1,24,51.5,9526,924.9,527,376.8,397,1421.2,2,134.8,3156,125.2
2009,South Dakota,53,111.1,2,37.3,73,1148,18,119.1,15,219.8,0,0,218,37.2
2009,Tennessee,6,40.5,40,58,7796,937.4,534,309.1,490,1167.4,6,287.5,5038,123.3
2009,Texas,32,40.4,380,55.5,21523,956.4,18000,269.9,2810,1665.1,13,96,18352,187.3
2009,Utah,16,65.7,24,55,181,922.9,434,187.9,71,302.3,3,20.3,1496,84.5
2009,Vermont,0,0,2,34.9,31,771.5,24,334.1,19,386.4,0,0,317,62
2009,Virginia,8,42.1,171,53.3,10581,842.7,1452,352.6,980,1270,5,127.6,5378,120.7
2009,Washington,113,146.7,230,60.5,1290,692.3,1235,261.9,741,602.3,14,59,6250,146.4
2009,West Virginia,1,28.2,3,29.8,348,671.5,47,279.7,71,645.6,0,0,902,62.2
2009,Wisconsin,19,48.9,48,52.8,1741,680.9,606,292.4,189,512.3,1,67.9,2203,53.9
2009,Wyoming,6,63.4,2,58.9,11,259.7,29,93.2,11,230.7,0,0,145,36.8
2010,Alabama,4,18.3,21,47.3,6661,660.3,324,245.9,632,1688.1,2,127.1,3029,110.8
2010,Alaska,137,173.5,14,44.6,74,409.8,68,237,43,154.6,1,18.9,305,78.7
2010,Arizona,369,184.4,114,78.4,1259,647.2,3427,247.4,348,499.7,9,97.6,6591,204.3
2010,Arkansas,4,24,12,40.3,1787,505.1,271,209.8,245,866.7,4,105.8,1937,104.9
2010,California,242,174.5,3182,76.6,17700,967.3,35818,336.6,4303,691.2,155,140.2,44277,334
2010,Colorado,49,183.7,79,69.2,1358,876.5,1974,259.3,194,311.4,7,152.2,6020,198.8
2010,Connecticut,7,119.7,57,51,3140,1126.5,3447,944.2,284,867.3,2,203.7,3073,138.5
2010,Delaware,3,120.9,5,21,1773,1169.7,246,467.5,112,1130.3,0,0,804,156.9
2010,District of Columbia,9,732.9,54,270.1,9744,3791,1027,2227.2,972,10341.5,5,2381,2236,1136
2010,Florida,42,102.3,252,64.9,42965,1865.2,18483,535,2285,1336.1,17,182,24348,252.3
2010,Georgia,15,82.6,128,49,26455,1131.8,2656,436.2,2471,2859.3,7,162.3,8431,183.4
2010,Hawaii,5,200.4,316,68.2,110,644.3,286,327.7,255,133.4,175,171.3,1239,441.2
2010,Idaho,12,85,5,32.1,53,798.1,123,101.2,28,166.1,0,0,648,60
2010,Illinois,21,131.2,291,58.8,13608,914.5,5309,354.9,1968,1935.1,16,593,8752,124.6
2010,Indiana,2,16.5,81,95.3,2926,635.8,718,264.4,380,707.3,0,0,4623,103.7
2010,Iowa,5,72.7,27,61.7,334,505.2,194,186.3,101,470.2,1,73.9,1325,58
2010,Kansas,10,52.6,21,38,618,474.1,406,195.5,142,386.1,1,63.2,1395,74.3
2010,Kentucky,5,65.7,15,38.2,1699,629.6,330,353.2,229,658.1,0,0,3036,95.9
2010,Louisiana,17,74.7,43,72.8,10615,925.1,659,435,335,1029.9,4,310.6,4026,173.3
2010,Maine,7,103.4,4,35.9,114,1041.2,87,709.1,37,306.1,0,0,1003,92.5
2010,Maryland,13,109.4,122,45.1,19469,1409.4,1616,448.1,2503,3472.2,5,222.8,3724,136.4
2010,Massachusetts,20,204.1,248,83.2,4892,1427.3,4354,907.5,304,487,2,95.2,7269,166
2010,Michigan,26,57.7,62,31.8,7361,655.4,730,236.9,547,492.1,4,208.7,4516,69.9
2010,Minnesota,90,209.4,94,56.2,2133,1060.2,617,358.1,236,428.6,3,184.4,3297,88
2010,Mississippi,8,75.4,8,37,5655,655.3,231,378.8,362,2319,1,122.7,1553,106.6
2010,Missouri,5,24.5,42,51.3,4185,758.6,545,360.4,362,576,2,44.7,4933,120.2
2010,Montana,23,51.8,0,0,12,405.8,20,97.1,23,163.2,1,191.2,341,45.9
2010,Nebraska,22,198.3,22,84.4,481,763.6,262,227.7,53,355.2,1,126.9,908,71.9
2010,Nevada,32,162,134,79.6,1490,871.4,1553,296.1,249,511.3,12,94.8,3226,252.4
2010,New Hampshire,0,0,9,39.1,115,1052.7,163,610.4,41,378.5,0,0,764,73
2010,New Jersey,10,99,223,36.8,15007,1607.5,8672,708.2,2416,3331.1,5,237.3,6385,142
2010,New Mexico,186,134.7,11,47.9,165,543.5,1293,175.5,82,430.7,1,93.3,1119,150.8
2010,New York,43,93.8,1182,95.1,42866,1824,41017,1503.9,9777,5205.4,13,199.9,21066,215
2010,North Carolina,129,145.2,85,49.7,15182,917.1,1684,300.2,990,1138.7,6,137.7,6100,113.9
2010,North Dakota,11,42.1,0,0,31,518.7,15,158.3,9,150.2,0,0,135,26.4
2010,Ohio,9,49,60,37.5,7014,628.7,1072,424.8,714,634.6,1,36.6,7886,99.2
2010,Oklahoma,249,104.8,31,57.4,1090,497.6,424,185.1,282,220.6,6,192.1,2769,125.3
2010,Oregon,41,115.5,82,68.8,374,709.9,712,225.4,209,288.3,10,97.9,4214,161.4
2010,Pennsylvania,20,136.9,143,48.9,14193,1310.7,4986,937.4,1667,1668,17,698.2,9170,105
2010,Rhode Island,7,195.7,23,88,491,1068.1,566,574.9,56,467.6,1,197.2,944,132.6
2010,South Carolina,9,64.4,34,68.8,9635,927.2,566,330.5,380,1078,2,112.7,3300,129.6
2010,South Dakota,44,88.8,3,48.3,78,1051.9,20,132.7,11,134,0,0,205,35.3
2010,Tennessee,8,55.9,47,63.1,8048,953.9,630,308.4,465,902.7,6,262.1,5402,132
2010,Texas,25,36.3,421,52.9,23185,993.7,19519,277.1,3154,1668,11,73.7,18813,192.2
2010,Utah,18,85,25,54,177,921,447,178.4,49,186.4,3,17.2,1400,80.5
2010,Vermont,0,0,3,45.2,42,923.5,35,483.5,13,198.5,0,0,359,70.4
2010,Virginia,11,61.6,168,45.7,10390,824.6,1478,308.2,785,749.8,5,112.3,5192,116.5
2010,Washington,106,146.8,261,63.7,1435,762.2,1413,265.3,778,505.5,20,64.9,6442,152.6
2010,West Virginia,1,31.7,6,56.2,331,627.3,63,378.5,87,599.6,0,0,1043,70.4
2010,Wisconsin,16,41.4,49,49,1753,650.1,624,268.9,160,371.2,1,74.1,2264,55.8
2010,Wyoming,11,124.6,2,52.5,17,468.1,48,131.3,7,132.6,0,0,172,42.3
2011,Alabama,4,18.1,22,47.8,6999,688.3,344,258.9,641,1655.6,2,125.1,3159,115.3
2011,Alaska,139,174.6,15,45.9,83,446.6,71,233.5,44,154.3,2,35.9,305,78.4
2011,Arizona,404,198.8,128,83.5,1326,662.2,3579,251.5,351,482,9,95.7,6706,206.8
2011,Arkansas,4,23.5,13,41,1854,518.6,275,205.4,246,840,3,71.7,1966,106.1
