GEO ID,State Abbreviation,State,Year,PrEP Users,PrEP Rates,Male PrEP Users,Male PrEP Rate,Female PrEP Users,Female PrEP Rate,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 55+ PrEP Users,Age 55+ PrEP Rate
46,SD,South Dakota,2013,14,2,10,3,4,1,3,2,7,6,1,1,2,2,1,0
47,TN,Tennessee,2013,116,2,68,3,48,2,15,1,33,4,37,4,19,2,12,1
48,TX,Texas,2013,706,3,428,4,278,3,93,2,245,6,170,5,134,4,64,1
49,UT,Utah,2013,59,3,40,4,19,2,10,2,30,7,9,2,7,2,3,1
50,VT,Vermont,2013,7,1,3,1,4,1,1,1,2,3,2,3,1,1,1,1
51,VA,Virginia,2013,282,4,149,4,133,4,54,4,95,8,56,5,53,4,25,1
53,WA,Washington,2013,271,5,165,6,106,4,32,3,92,9,78,9,45,5,24,1
54,WV,West Virginia,2013,30,2,16,2,14,2,6,2,7,3,8,3,7,3,2,0
55,WI,Wisconsin,2013,107,2,67,3,40,2,21,2,37,5,22,3,18,2,9,1
56,WY,Wyoming,2013,7,1,4,2,3,1,1,1,3,4,1,1,0,0,2,1
,US,United States,2015,27596,10.3,20447,15.6,7149,5.2,3909,7.4,9937,22.7,6890,16.7,4828,11,2054,2.4
1,AL,Alabama,2015,175,4,127,7,48,2,20,2,62,10,51,8,27,4,15,1
2,AK,Alaska,2015,22,4,18,6,4,1,4,3,8,7,6,6,3,3,1,1
4,AZ,Arizona,2015,388,7,275,10,113,4,53,5,129,14,108,13,72,9,27,1
5,AR,Arkansas,2015,105,4,74,6,31,2,16,3,40,11,26,7,13,3,10,1
6,CA,California,2015,3860,12,3349,21,511,3,321,5,1239,22,1060,21,885,17,371,4
8,CO,Colorado,2015,383,9,277,12,106,5,65,8,148,19,100,14,56,8,14,1
9,CT,Connecticut,2015,482,16,303,20,179,11,91,15,211,48,94,21,58,11,29,3
10,DE,Delaware,2015,92,12,52,14,40,10,20,14,32,26,17,15,17,13,6,2
11,DC,"Washington, D.C.",2015,425,75,386,144,39,13,27,25,148,99,138,150,79,102,33,23
12,FL,Florida,2015,1829,11,1297,16,532,6,185,6,631,25,427,18,402,15,186,3
13,GA,Georgia,2015,791,10,583,15,208,5,92,5,247,18,225,16,165,12,64,3
15,HI,Hawaii,2015,64,5,49,8,15,3,10,5,21,10,15,9,8,4,10,2
16,ID,Idaho,2015,47,4,34,5,13,2,8,3,20,9,9,4,9,5,1,0
17,IL,Illinois,2015,1575,15,1294,25,281,5,212,10,609,34,401,24,250,14,104,3
18,IN,Indiana,2015,256,5,176,7,80,3,36,3,118,14,53,6,30,3,17,1
19,IA,Iowa,2015,148,6,92,7,56,4,28,5,52,13,37,10,24,6,7,1
20,KS,Kansas,2015,127,5,90,8,37,3,23,5,49,13,33,9,16,4,7,1
21,KY,Kentucky,2015,161,4,106,6,55,3,33,5,56,10,42,7,21,3,9,1
22,LA,Louisiana,2015,256,7,154,8,102,5,35,4,87,13,68,12,41,7,24,2
23,ME,Maine,2015,66,6,51,9,15,3,10,5,19,12,21,13,10,5,6,1
24,MD,Maryland,2015,532,11,351,15,181,7,62,7,214,26,121,16,81,9,54,3
25,MA,Massachusetts,2015,1806,31,1178,42,628,21,332,30,661,72,368,44,315,32,131,7
26,MI,Michigan,2015,489,6,342,8,147,3,78,5,163,14,113,10,92,7,43,1
27,MN,Minnesota,2015,407,9,302,14,105,5,55,6,159,21,94,14,75,10,25,2
28,MS,Mississippi,2015,111,4,67,6,44,3,22,4,37,10,30,8,20,5,3,0
29,MO,Missouri,2015,326,6,238,10,88,3,55,6,97,12,94,13,54,7,26,2
30,MT,Montana,2015,20,2,14,3,6,1,2,1,10,8,4,3,3,2,1,0
31,NE,Nebraska,2015,63,4,42,6,21,3,10,3,30,12,16,7,6,3,1,0
32,NV,Nevada,2015,149,6,117,10,32,3,10,2,57,14,42,11,33,9,6,1
33,NH,New Hampshire,2015,109,10,74,13,35,6,19,9,38,24,27,17,15,7,10,2
34,NJ,New Jersey,2015,842,11,576,16,266,7,141,10,303,26,204,17,134,10,62,3
35,NM,New Mexico,2015,92,5,61,7,31,4,9,3,30,11,27,11,13,5,13,2
36,NY,New York,2015,4253,25,3156,39,1097,13,727,23,1671,59,998,40,615,22,239,4
37,NC,North Carolina,2015,542,7,374,9,168,4,88,5,171,13,155,12,104,8,25,1
38,ND,North Dakota,2015,21,3,16,5,5,2,2,1,13,12,4,5,1,1,1,1
39,OH,Ohio,2015,673,7,490,10,183,4,107,6,264,18,175,12,97,6,27,1
40,OK,Oklahoma,2015,113,4,88,6,25,2,13,2,43,8,29,6,21,4,6,1
41,OR,Oregon,2015,314,9,221,13,93,5,53,9,109,20,72,14,59,12,20,2
42,PA,Pennsylvania,2015,944,9,638,12,306,5,158,8,381,23,212,14,123,7,67,2
44,RI,Rhode Island,2015,204,23,143,33,61,13,37,20,81,59,40,32,28,18,18,6
45,SC,South Carolina,2015,198,5,133,7,65,3,32,4,78,13,49,8,25,4,13,1
46,SD,South Dakota,2015,23,3,19,5,4,1,6,4,8,7,7,7,1,1,1,0
47,TN,Tennessee,2015,288,5,204,8,84,3,30,3,92,11,85,10,54,6,27,1
48,TX,Texas,2015,1882,9,1353,13,529,5,269,6,651,17,489,13,329,10,149,2
49,UT,Utah,2015,157,7,115,10,42,4,31,5,60,14,36,9,21,7,8,1
50,VT,Vermont,2015,35,6,24,9,11,4,4,4,12,16,9,12,7,8,3,1
51,VA,Virginia,2015,572,8,394,12,178,5,89,7,191,16,145,13,103,9,44,2
53,WA,Washington,2015,851,14,694,24,157,5,101,9,284,28,226,24,169,18,75,4
54,WV,West Virginia,2015,68,4,47,6,21,3,17,6,19,9,18,8,12,5,2,0
55,WI,Wisconsin,2015,228,5,169,7,59,2,51,5,75,10,62,9,29,4,11,1
56,WY,Wyoming,2015,8,2,6,2,2,1,1,1,4,5,3,4,0,0,0,0
,US,United States,2015,59427,21.9,49508,37.3,9919,7.1,7676,14.5,22232,50.2,14635,35.5,10633,24.4,4493,5
1,AL,Alabama,2015,440,11,339,17,101,5,53,7,166,27,105,17,78,12,41,3
2,AK,Alaska,2015,57,9,46,14,11,4,10,8,20,17,8,9,16,17,3,2
4,AZ,Arizona,2015,739,13,592,21,147,5,89,8,269,29,180,21,144,17,63,3
5,AR,Arkansas,2015,221,9,189,16,32,3,24,5,100,26,50,14,32,8,15,2
6,CA,California,2015,8097,25,7378,46,719,4,765,12,2655,46,2112,41,1782,34,830,8
8,CO,Colorado,2015,836,18,679,30,157,7,122,14,329,40,185,25,153,21,53,4
9,CT,Connecticut,2015,919,30,690,47,229,14,166,28,380,86,185,43,129,24,61,6
10,DE,Delaware,2015,168,21,128,33,40,10,22,15,73,58,29,26,27,21,18,6
11,DC,"Washington, D.C.",2015,1024,177,969,354,55,18,86,80,373,244,302,314,193,250,76,52
12,FL,Florida,2015,4081,24,3349,40,732,8,387,13,1408,54,1003,41,897,33,399,6
13,GA,Georgia,2015,1654,20,1353,33,301,7,204,12,552,40,414,30,359,26,130,5
15,HI,Hawaii,2015,156,13,126,21,30,5,18,8,53,25,39,22,27,15,20,5
16,ID,Idaho,2015,98,7,84,13,14,2,17,6,38,18,25,12,14,7,5,1
17,IL,Illinois,2015,3444,32,3046,58,398,7,413,20,1385,78,920,55,539,31,203,6
18,IN,Indiana,2015,675,12,527,20,148,5,107,9,242,29,182,22,100,11,49,3
19,IA,Iowa,2015,335,13,233,18,102,8,64,12,127,33,85,23,40,10,18,2
20,KS,Kansas,2015,269,11,222,19,47,4,28,6,128,33,47,14,43,12,22,3
21,KY,Kentucky,2015,354,10,278,15,76,4,40,6,121,22,108,19,67,11,24,2
22,LA,Louisiana,2015,562,15,421,22,141,7,88,12,219,33,134,23,88,15,34,3
23,ME,Maine,2015,138,12,106,19,32,5,18,10,59,39,30,20,21,11,10,2
24,MD,Maryland,2015,1168,23,944,39,224,9,177,19,419,51,298,39,203,23,82,5
25,MA,Massachusetts,2015,3438,59,2690,96,748,25,502,45,1331,142,719,86,607,62,298,15
26,MI,Michigan,2015,1089,13,834,20,255,6,189,12,369,30,253,22,188,14,86,3
27,MN,Minnesota,2015,873,19,739,33,134,6,132,15,309,41,223,33,149,20,64,4
28,MS,Mississippi,2015,227,9,162,14,65,5,48,9,69,18,60,16,36,10,13,2
29,MO,Missouri,2015,810,16,654,26,156,6,117,12,269,34,217,29,149,18,60,3
30,MT,Montana,2015,61,7,47,11,14,3,6,4,27,21,17,14,7,5,4,1
31,NE,Nebraska,2015,148,10,116,15,32,4,12,4,64,25,46,20,19,8,8,2
32,NV,Nevada,2015,366,15,309,26,57,5,39,9,156,38,95,25,56,14,23,3
33,NH,New Hampshire,2015,190,17,161,29,29,5,21,10,70,45,55,35,30,15,15,4
34,NJ,New Jersey,2015,1685,22,1336,37,349,9,226,16,684,59,392,34,269,20,114,5
35,NM,New Mexico,2015,190,11,160,19,30,3,33,9,68,25,38,15,28,11,23,4
36,NY,New York,2015,9114,54,7510,93,1604,18,1381,44,3770,131,2157,86,1323,48,513,9
37,NC,North Carolina,2015,1218,14,964,24,254,6,160,10,391,30,336,26,248,18,86,3
38,ND,North Dakota,2015,33,5,29,9,4,1,8,6,14,12,6,7,4,5,1,0
39,OH,Ohio,2015,1647,17,1370,29,277,6,228,12,687,46,413,29,235,15,87,3
40,OK,Oklahoma,2015,302,9,256,16,46,3,31,5,131,24,81,17,46,10,14,1
41,OR,Oregon,2015,659,19,556,33,103,6,93,15,255,46,162,31,113,22,40,3
42,PA,Pennsylvania,2015,2061,19,1606,30,455,8,331,17,827,50,437,29,311,17,152,4
44,RI,Rhode Island,2015,396,44,320,74,76,16,69,39,140,98,84,68,75,50,29,9
45,SC,South Carolina,2015,387,9,320,16,67,3,45,6,137,22,106,18,74,11,27,2
46,SD,South Dakota,2015,65,9,53,15,12,3,7,5,28,25,16,16,9,9,5,2
47,TN,Tennessee,2015,689,12,530,20,159,6,74,7,239,27,182,22,129,14,67,4
48,TX,Texas,2015,4029,18,3382,31,647,6,494,10,1489,37,1038,28,740,21,291,5
49,UT,Utah,2015,408,17,344,30,64,5,54,9,183,42,91,22,60,19,24,4
50,VT,Vermont,2015,63,12,50,19,13,5,8,8,18,25,17,24,12,13,8,4
51,VA,Virginia,2015,1137,16,932,27,205,6,148,11,441,38,242,22,228,20,85,4
53,WA,Washington,2015,1951,32,1760,59,191,6,212,19,693,66,521,56,381,40,159,8
54,WV,West Virginia,2015,129,8,108,14,21,3,15,5,51,23,29,13,26,11,6,1
55,WI,Wisconsin,2015,545,11,456,19,89,4,84,9,183,25,142,20,111,14,25,1
56,WY,Wyoming,2015,17,4,13,5,4,2,2,2,8,10,3,4,3,4,1,1
,US,United States,2016,77120,28.2,71977,53.9,5143,3.7,8600,16.4,29979,67,19380,47.1,13976,32.3,5859,6.4
1,AL,Alabama,2016,632,15,570,29,62,3,67,9,256,41,168,28,114,18,36,3
2,AK,Alaska,2016,64,11,56,18,8,3,10,8,21,17,14,15,15,16,4,2
4,AZ,Arizona,2016,1004,17,945,33,59,2,101,9,365,39,259,30,186,22,101,5
5,AR,Arkansas,2016,291,12,275,23,16,1,32,7,125,33,75,21,47,12,14,2
6,CA,California,2016,10388,32,9973,62,415,3,900,14,3653,62,2690,52,2181,42,1059,11
8,CO,Colorado,2016,1048,23,989,43,59,3,110,12,451,54,235,31,186,26,73,5
9,CT,Connecticut,2016,949,31,872,59,77,5,132,22,374,86,223,53,158,30,72,7
10,DE,Delaware,2016,245,30,213,55,32,8,28,20,96,75,53,48,41,33,30,10
11,DC,"Washington, D.C.",2016,1571,268,1519,551,52,17,125,117,631,408,445,451,281,362,106,71
12,FL,Florida,2016,5638,32,5288,62,350,4,466,16,1966,74,1450,59,1241,45,558,8
13,GA,Georgia,2016,2165,25,1991,48,174,4,191,11,737,53,576,42,515,37,167,6
15,HI,Hawaii,2016,211,18,193,32,18,3,28,13,81,39,48,27,28,16,26,6
16,ID,Idaho,2016,149,11,139,20,10,1,26,9,60,27,38,19,20,10,8,2
17,IL,Illinois,2016,4404,41,4155,80,249,5,529,26,1823,103,1130,68,706,41,256,7
18,IN,Indiana,2016,954,17,824,31,130,5,133,12,360,42,232,28,159,18,74,4
19,IA,Iowa,2016,463,18,437,34,26,2,53,10,186,47,123,33,71,18,32,3
20,KS,Kansas,2016,319,13,301,25,18,1,40,8,138,37,67,19,52,15,23,3
21,KY,Kentucky,2016,447,12,411,23,36,2,44,6,171,30,127,23,79,13,30,2
22,LA,Louisiana,2016,709,18,621,33,88,4,107,14,263,39,187,32,109,19,45,4
23,ME,Maine,2016,168,15,157,28,11,2,19,10,57,36,42,28,30,16,21,5
24,MD,Maryland,2016,1499,30,1359,56,140,5,234,25,580,69,355,46,248,29,98,6
25,MA,Massachusetts,2016,3443,59,3184,113,259,9,426,38,1354,143,732,89,650,68,316,16
26,MI,Michigan,2016,1353,16,1236,30,117,3,202,12,494,39,338,29,231,17,96,3
27,MN,Minnesota,2016,1290,28,1215,53,75,3,168,19,482,65,325,47,234,32,96,6
28,MS,Mississippi,2016,290,12,261,22,29,2,41,8,92,24,86,23,55,15,18,2
29,MO,Missouri,2016,1075,21,979,39,96,4,146,15,351,44,285,39,209,26,91,5
30,MT,Montana,2016,81,9,74,17,7,2,10,6,36,28,19,16,13,10,3,1
31,NE,Nebraska,2016,158,10,144,19,14,2,16,5,59,23,53,23,23,10,9,2
32,NV,Nevada,2016,541,22,518,42,23,2,47,11,224,53,146,37,100,26,29,4
33,NH,New Hampshire,2016,226,20,211,37,15,3,29,14,84,52,62,41,37,18,17,4
34,NJ,New Jersey,2016,1970,26,1805,49,165,4,239,17,798,69,473,41,341,26,139,5
35,NM,New Mexico,2016,246,14,225,26,21,2,32,9,102,37,49,20,42,17,25,4
36,NY,New York,2016,12686,76,11796,147,890,10,1567,51,5544,192,3125,127,1836,67,710,13
37,NC,North Carolina,2016,1472,17,1365,33,107,2,166,10,513,39,397,30,306,22,102,4
38,ND,North Dakota,2016,53,8,53,17,0,0,7,5,22,19,15,17,8,9,2,1
39,OH,Ohio,2016,2480,25,2305,49,175,3,331,18,1077,72,593,43,347,22,153,4
40,OK,Oklahoma,2016,395,12,367,23,28,2,40,6,158,29,112,24,64,13,24,2
41,OR,Oregon,2016,944,27,883,52,61,3,94,15,368,64,249,47,163,32,79,6
42,PA,Pennsylvania,2016,2744,25,2481,47,263,5,406,21,1118,67,613,41,448,26,183,5
44,RI,Rhode Island,2016,437,48,405,92,32,7,66,37,167,117,98,80,81,55,29,9
