Geography,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,
,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,
,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000
Louisiana,364,19.2,707,40.3,388,20.3,784,44.3,319,16.6,793,43.7,356,18.4,836,45.8,304,15.6,716,38.9,279,14.2,850,45.9,312,15.8,886,47.6,267,13.4,831,44.4,296,14.8,814,43.4,243,12.2,768,41,256,12.8,730,39
Maine,8,1.4,37,6.8,13,2.2,41,7.5,8,1.4,48,8.7,11,1.9,41,7.4,14,2.4,34,6.1,8,1.4,27,4.8,16,2.7,41,7.3,9,1.5,37,6.6,21,3.5,32,5.7,4,0.7,26,4.6,6,1,22,3.9
Maryland,693,28.3,"1,341",59.5,570,23.1,"1,108",48.8,565,22.4,"1,175",50.8,406,16,"1,014",43.4,366,14.3,960,40.7,373,14.4,927,38.9,365,14,870,36.3,320,12.2,856,35.5,309,11.8,791,32.7,287,10.9,734,30.2,270,10.2,709,29.1
Massachusetts,206,7.2,535,20.1,163,5.6,528,19.6,206,7.1,502,18.8,187,6.4,491,18.2,188,6.4,516,18.9,172,5.8,497,18.1,163,5.4,480,17.3,159,5.3,439,15.7,169,5.6,469,16.6,153,5,443,15.6,182,5.9,472,16.5
Michigan,170,4,604,14.9,159,3.7,644,15.9,149,3.5,613,15.3,157,3.7,614,15.3,148,3.5,641,15.8,126,2.9,622,15.3,142,3.3,639,15.7,129,3,596,14.6,117,2.7,628,15.3,143,3.3,635,15.4,147,3.4,571,13.8
Minnesota,85,3.9,245,11.4,76,3.5,304,14.1,74,3.3,261,12.1,77,3.4,218,10,64,2.8,250,11.4,75,3.3,231,10.4,72,3.1,239,10.7,72,3.1,224,9.9,67,2.9,229,10.1,69,3,204,8.9,66,2.8,217,9.4
Mississippi,167,13.4,350,30.6,145,11.6,352,30.7,113,9,339,29,136,10.7,389,33.2,90,7.1,353,30,111,8.7,359,30.3,109,8.5,365,30.8,109,8.5,397,33.5,99,7.7,326,27.5,107,8.3,320,26.9,106,8.2,373,31.3
Missouri,103,4,441,18.5,90,3.5,430,17.9,106,4.1,463,19.2,75,2.9,449,18.5,82,3.2,447,18.3,76,2.9,389,15.9,77,3,389,15.8,75,2.9,388,15.7,99,3.8,411,16.6,102,3.9,402,16.1,79,3,367,14.7
Montana,5,1.2,17,4.2,2,0.5,29,7.1,3,0.7,17,4.1,4,1,18,4.3,4,0.9,16,3.8,2,0.5,20,4.7,3,0.7,11,2.6,1,0.2,17,3.9,2,0.5,18,4.1,2,0.5,29,6.5,3,0.7,20,4.4
Nebraska,28,3.8,69,9.6,37,5,71,9.8,25,3.3,90,12.2,10,1.3,69,9.3,12,1.6,70,9.4,16,2.1,63,8.4,10,1.3,78,10.2,12,1.5,67,8.7,14,1.8,62,8,16,2,72,9.2,7,0.9,72,9.2
