Geography,Avg_Cases_Before,Avg_Rate_Before,Avg_Cases_After,Avg_Rate_After,Difference_Cases,Difference_Rates
Stokes County NC,0.0,0.0,0.0,0.0,0.0,0.0
Stoddard County MO,0.0,0.0,0.0,0.0,0.0,0.0
Stillwater County MT,0.0,0.0,0.0,0.0,0.0,0.0
Stewart County TN,0.0,0.0,0.0,0.0,0.0,0.0
Stevens County MN,0.0,0.0,0.0,0.0,0.0,0.0
Stevens County KS,0.0,0.0,0.0,0.0,0.0,0.0
Steuben County IN,0.0,0.0,0.0,0.0,0.0,0.0
Sterling County TX,0.0,0.0,0.0,0.0,0.0,0.0
Stephens County OK,0.0,0.0,0.0,0.0,0.0,0.0
Stephens County GA,0.0,0.0,0.0,0.0,0.0,0.0
Steele County ND,0.0,0.0,0.0,0.0,0.0,0.0
Steele County MN,0.0,0.0,0.0,0.0,0.0,0.0
Ste. Genevieve County MO,0.0,0.0,0.0,0.0,0.0,0.0
Starr County TX,0.0,0.0,6.0,12.3,-6.0,-12.3
Stark County ND,0.0,0.0,0.0,0.0,0.0,0.0
Stark County IL,0.0,0.0,0.0,0.0,0.0,0.0
Stanton County NE,0.0,0.0,0.0,0.0,0.0,0.0
Stanton County KS,0.0,0.0,0.0,0.0,0.0,0.0
Stanley County SD,0.0,0.0,0.0,0.0,0.0,0.0
Stafford County KS,0.0,0.0,0.0,0.0,0.0,0.0
Spink County SD,0.0,0.0,0.0,0.0,0.0,0.0
Socorro County NM,0.0,0.0,0.0,0.0,0.0,0.0
Snyder County PA,0.0,0.0,0.0,0.0,0.0,0.0
Smith County KS,0.0,0.0,0.0,0.0,0.0,0.0
Slope County ND,0.0,0.0,0.0,0.0,0.0,0.0
Sioux County NE,0.0,0.0,0.0,0.0,0.0,0.0
Sioux County ND,0.0,0.0,0.0,0.0,0.0,0.0
Sierra County NM,0.0,0.0,0.0,0.0,0.0,0.0
Sierra County CA,0.0,0.0,0.0,0.0,0.0,0.0
Sibley County MN,0.0,0.0,0.0,0.0,0.0,0.0
Shoshone County ID,0.0,0.0,0.0,0.0,0.0,0.0
Shiawassee County MI,0.0,0.0,0.0,0.0,0.0,0.0
Sherman County TX,0.0,0.0,0.0,0.0,0.0,0.0
Sherman County OR,0.0,0.0,0.0,0.0,0.0,0.0
Sherman County NE,0.0,0.0,0.0,0.0,0.0,0.0
Sherman County KS,0.0,0.0,0.0,0.0,0.0,0.0
Sheridan County WY,0.0,0.0,0.0,0.0,0.0,0.0
Sheridan County NE,0.0,0.0,0.0,0.0,0.0,0.0
Sheridan County ND,0.0,0.0,0.0,0.0,0.0,0.0
Sheridan County MT,0.0,0.0,0.0,0.0,0.0,0.0
Sheridan County KS,0.0,0.0,0.0,0.0,0.0,0.0
Shenandoah County VA,0.0,0.0,0.0,0.0,0.0,0.0
Shelby County OH,0.0,0.0,6.0,13.8,-6.0,-13.8
Shelby County MO,0.0,0.0,0.0,0.0,0.0,0.0
Shawano County WI,0.0,0.0,0.0,0.0,0.0,0.0
Sharp County AR,0.0,0.0,0.0,0.0,0.0,0.0
Shannon County MO,0.0,0.0,0.0,0.0,0.0,0.0
Seward County NE,0.0,0.0,0.0,0.0,0.0,0.0
Sevier County UT,0.0,0.0,0.0,0.0,0.0,0.0
Sevier County AR,0.0,0.0,0.0,0.0,0.0,0.0
Sequatchie County TN,0.0,0.0,0.0,0.0,0.0,0.0
Seneca County NY,0.0,0.0,0.0,0.0,0.0,0.0
Seminole County GA,0.0,0.0,0.0,0.0,0.0,0.0
Sedgwick County CO,0.0,0.0,0.0,0.0,0.0,0.0
Searcy County AR,0.0,0.0,0.0,0.0,0.0,0.0
Scotts Bluff County NE,0.0,0.0,0.0,0.0,0.0,0.0
Scott County MO,0.0,0.0,0.0,0.0,0.0,0.0
Scott County KS,0.0,0.0,0.0,0.0,0.0,0.0
Scott County IN,0.0,0.0,47.0,236.0,-47.0,-236.0
Scott County IL,0.0,0.0,0.0,0.0,0.0,0.0
Scott County AR,0.0,0.0,0.0,0.0,0.0,0.0
Scotland County MO,0.0,0.0,0.0,0.0,0.0,0.0
Schuyler County MO,0.0,0.0,0.0,0.0,0.0,0.0
Schuyler County IL,0.0,0.0,0.0,0.0,0.0,0.0
Schoolcraft County MI,0.0,0.0,0.0,0.0,0.0,0.0
Schoharie County NY,0.0,0.0,0.0,0.0,0.0,0.0
Schleicher County TX,0.0,0.0,0.0,0.0,0.0,0.0
Saunders County NE,0.0,0.0,0.0,0.0,0.0,0.0
Sargent County ND,0.0,0.0,0.0,0.0,0.0,0.0
Sanpete County UT,0.0,0.0,0.0,0.0,0.0,0.0
Sanders County MT,0.0,0.0,0.0,0.0,0.0,0.0
Sanborn County SD,0.0,0.0,0.0,0.0,0.0,0.0
San Saba County TX,0.0,0.0,0.0,0.0,0.0,0.0
San Miguel County CO,0.0,0.0,0.0,0.0,0.0,0.0
San Juan County UT,0.0,0.0,0.0,0.0,0.0,0.0
