Full Name,F Diag 08,F Diag Rate 08,M Diag 08,M Diag Rate 08,F Diag 09,F Diag Rate 09,M Diag 09,M Diag Rate 09,F Diag 10,F Diag Rate 10,M Diag 10,M Diag Rate 10,F Diag 11,F Diag Rate 11,M Diag 11,M Diag Rate 11,F Diag 12,F Diag Rate 12,M Diag 12,M Diag Rate 12,F Diag 13,F Diag Rate 13,M Diag 13,M Diag Rate 13,F Diag 14,F Diag Rate 14,M Diag 14,M Diag Rate 14,F Diag 15,F Diag Rate 15,M Diag 15,M Diag Rate 15,F Diag 16,F Diag Rate 16,M Diag 16,M Diag Rate 16,F Diag 17,F Diag Rate 17,M Diag 17,M Diag Rate 17,F Diag 18,F Diag Rate 18,M Diag 18,M Diag Rate 18
Johnson County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnson County TN,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Johnson County TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8.5,10,14.5
Johnson County WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnston County NC,6,9.1,15,23.4,,,,,0,0,10,15.2,,,,,,,,,5,6.8,12,17.3,,,,,,,,,,,,,,,,,,,,
Johnston County OK,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,
Jones County GA,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,
Jones County IA,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
Jones County MS,,,,,7,25,8,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jones County NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
Jones County SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jones County TX,0,0,17,161.8,0,0,11,105,0,0,5,45,0,0,10,88.8,0,0,0,0,0,0,13,115.4,0,0,8,71.2,0,0,6,53.1,,,,,,,,,0,0,7,62.4
Josephine County OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juab County UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judith Basin County MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juneau City and Borough AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juneau County WI,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Juniata County PA,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalamazoo County MI,,,,,5,4.6,13,13,,,,,,,,,,,,,,,,,,,,,7,6.2,11,10.3,,,,,7,6.1,12,11.1,6,5.2,9,8.3
Kalawao County HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalkaska County MI,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,
Kanabec County MN,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,
Kanawha County WV,,,,,5,5.9,10,13,,,,,,,,,0,0,13,16.6,,,,,,,,,,,,,,,,,,,,,8,9.9,8,10.8
Kandiyohi County MN,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
Kane County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kane County UT,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
Kankakee County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnes County TX,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Kauai County HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaufman County TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kay County OK,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,
Kearney County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kearny County KS,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keith County NE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kemper County MS,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
Kenai Peninsula Borough AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendall County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendall County TX,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Kenedy County TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kennebec County ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenosha County WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kent County DE,6,9,15,25,6,8.8,24,39.4,,,,,,,,,7,9.7,20,30.4,5,6.8,15,22.5,11,14.8,9,13.2,6,8,16,23.3,5,6.6,16,23,5,6.5,11,15.7,,,,
Kent County MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kent County MI,9,3.6,28,11.7,12,4.8,43,17.8,8,3.2,28,11.8,12,4.7,28,11.7,11,4.3,35,14.3,11,4.2,31,12.5,16,6,36,14.3,6,2.2,35,13.7,10,3.7,36,13.9,6,2.2,39,14.9,6,2.2,33,12.5
Kent County RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7,10.2
Kent County TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenton County KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8.6,22,32.8,7,10,16,23.7
Keokuk County IA,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kern County CA,8,2.7,99,30.8,9,3,72,22.1,14,4.4,87,25.5,10,3.1,79,23,14,4.3,80,23.3,11,3.3,94,27.1,21,6.3,89,25.4,17,5.1,104,29.4,11,3.3,89,24.9,14,4.1,135,37.5,16,4.6,137,37.6
Kerr County TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,5,23.4,,,,
Kershaw County SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8,31.5,,,,,,,,,,,,
Ketchikan Gateway Borough AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kewaunee County WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keweenaw County MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keya Paha County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidder County ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimball County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kimble County TX,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
King And Queen County VA,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0
King County TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
King County WA,44,5.5,266,33.6,32,3.9,262,32.5,36,4.4,278,34.3,30,3.6,236,28.6,42,4.9,236,28,36,4.1,209,24.3,39,4.4,231,26.3,31,3.4,202,22.5,39,4.2,173,18.9,48,5.1,164,17.5,79,8.3,217,22.8
King George County VA,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
King William County VA,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Kingfisher County OK,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kingman County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0
Kings County CA,,,14,19.8,,,,,0,0,13,18.6,0,0,5,7.2,0,0,8,11.6,0,0,12,17.6,,,,,0,0,8,11.8,,,,,,,,,,,,
Kings County NY,287,25.7,755,77.8,260,23.1,688,70.3,264,23.7,628,65.1,237,21,662,67.9,216,19,582,58.9,168,14.7,541,54.4,185,16.1,561,56,139,12.1,524,52.2,156,13.5,426,42.3,135,11.8,502,50.1,128,11.2,423,42.4
Kingsbury County SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinney County TX,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiowa County CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiowa County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiowa County OK,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kit Carson County CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,
Kitsap County WA,,,,,,,,,,,,,0,0,6,5.5,,,,,0,0,8,7.3,0,0,6,5.5,,,,,,,,,,,,,,,,
Kittitas County WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,
Kittson County MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klamath County OR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kleberg County TX,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klickitat County WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
Knott County KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knox County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knox County IN,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Knox County KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knox County ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knox County MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knox County NE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knox County OH,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
Knox County TN,11,5.8,44,25.3,10,5.2,32,18.1,5,2.6,29,16.5,10,5.2,45,25.4,,,,,5,2.6,38,21,5,2.5,31,17,11,5.6,29,15.8,9,4.5,43,23.1,14,6.9,36,19.1,13,6.3,38,20
Knox County TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kodiak Island Borough AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koochiching County MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
Kootenai County ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosciusko County IN,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
Kossuth County IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0
Kusilvak Census Area AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Crosse County WI,,,,,,,,,0,0,0,0,,,,,0,0,5,10.4,,,,,,,,,,,,,,,,,0,0,5,10.2,,,,
La Paz County AZ,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
La Plata County CO,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
La Salle County TX,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Labette County KS,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0
Lac Qui Parle County MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lackawanna County PA,,,,,6,6.4,12,14.3,,,,,,,,,,,,,5,5.2,6,6.8,,,,,,,,,0,0,12,13.9,,,,,,,,
Laclede County MO,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0
Lafayette County AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Lafayette County FL,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lafayette County MO,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,
Lafayette County MS,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,27.4,,,,,,,,,,,,,0,0,6,26.1
Lafayette County WI,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette Parish LA,8,9.1,21,25.7,9,10.1,25,30.1,5,5.3,33,37.3,8,8.4,27,30.2,8,8.3,22,24.3,7,7.1,35,37.8,8,8,40,42.4,8,7.9,35,36.5,13,12.7,29,30.1,11,10.7,41,42.5,12,11.6,50,51.6
Lafourche Parish LA,,,,,,,,,5,12.2,7,18,,,,,,,,,,,,,5,12,11,27.8,5,12,11,27.6,6,14.3,5,12.5,,,,,,,,
Lagrange County IN,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake County CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake County CO,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0
Lake County FL,8,5.8,25,19.5,7,5,18,13.9,10,7.6,27,22.2,11,8.2,28,22.8,5,3.7,21,16.8,7,5.1,24,18.9,5,3.5,35,26.9,10,6.9,13,9.7,8,5.3,27,19.5,8,5.2,33,23.1,10,6.2,34,23
Lake County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake County IN,12,5.7,45,23.7,8,3.8,33,17.3,9,4.2,42,21.7,7,3.3,49,25.3,14,6.6,41,21.2,13,6.1,48,24.7,13,6.1,42,21.6,9,4.3,36,18.6,11,5.2,39,20.2,10,4.7,29,15,8,3.8,47,24.2
Lake County MI,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Lake County MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
Lake County MT,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0
Lake County OH,,,,,,,,,,,,,,,,,,,,,0,0,8,8.4,,,,,0,0,5,5.2,0,0,16,16.7,,,,,,,,
Lake County OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake County SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake County TN,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0
Lake Of The Woods County MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake and Peninsula Borough AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar County AL,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0
Lamar County GA,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,5,68.8,,,,,,,,,,,,,,,,
Lamar County MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,20.8,,,,
Lamar County TX,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamb County TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamoille County VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamoure County ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lampasas County TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Lancaster County NE,,,,,5,4.3,15,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4.6,14,10.7,,,,
Lancaster County PA,11,5.1,19,9.5,7,3.3,31,15.3,16,7.2,27,13,6,2.7,28,13.4,10,4.5,19,9,,,,,,,,,6,2.6,28,13,7,3,28,12.9,,,,,,,,
Lancaster County SC,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,17.6,0,0,6,17.1,,,,,,,,,,,,
Lancaster County VA,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,
Lander County NV,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lane County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lane County OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,14,9.1,,,,,,,,,0,0,13,8.1
Langlade County WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Lanier County GA,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,
Lapeer County MI,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
Laporte County IN,,,,,0,0,7,14.6,,,,,0,0,13,26.8,,,,,0,0,5,10.2,,,,,,,,,,,,,,,,,0,0,7,14.6
Laramie County WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
Larimer County CO,,,,,,,,,,,,,0,0,6,4.7,,,,,,,,,0,0,8,5.8,0,0,8,5.7,,,,,0,0,12,8.2,,,,
Larue County KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las Animas County CO,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Lasalle County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasalle Parish LA,0,0,10,169.2,,,,,,,,,,,,,,,,,0,0,7,109.4,,,,,0,0,7,108.2,,,,,,,,,,,,
Lassen County CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latah County ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latimer County OK,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0
Lauderdale County AL,,,,,,,,,,,,,,,,,0,0,7,18.7,,,,,0,0,8,21.2,,,,,,,,,,,,,,,,
Lauderdale County MS,,,,,,,,,5,14.5,8,25.4,8,23.1,7,22.1,,,,,,,,,0,0,7,22.3,,,,,,,,,,,,,,,,
Lauderdale County TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
Laurel County KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurens County GA,7,34.3,14,76.3,,,,,,,,,,,,,7,33.7,10,54.5,,,,,,,,,,,,,,,,,,,,,,,,
Laurens County SC,,,,,0,0,5,17.7,,,,,0,0,8,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavaca County TX,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0
Lawrence County AL,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,7,51.5,,,,,,,,,,,,
Lawrence County AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Lawrence County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence County IN,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0
Lawrence County KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence County MO,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,
Lawrence County MS,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
Lawrence County OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,20.5
Lawrence County PA,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,5,13.7,,,,,0,0,0,0,,,,,,,,
Lawrence County SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence County TN,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Le Flore County OK,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,
Le Sueur County MN,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Lea County NM,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,5,17.5,,,,,,,,,,,,
Leake County MS,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
Leavenworth County KS,0,0,7,21.5,0,0,6,18.3,,,,,,,,,0,0,5,14.6,0,0,8,23.1,,,,,,,,,0,0,0,0,,,,,,,,
Lebanon County PA,,,,,,,,,,,,,,,,,,,,,0,0,5,9.1,0,0,5,9,,,,,,,,,,,,,,,,
Lee County AL,7,12.2,9,16.4,5,8.5,7,12.5,6,9.9,20,34.6,6,9.7,9,15.2,5,7.8,13,21.2,,,,,0,0,9,14,,,,,,,,,,,,,7,9.9,14,20.7
Lee County AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee County FL,35,13.8,60,24.4,18,7.1,61,24.8,22,8,46,17.7,21,7.5,62,23.4,21,7.3,68,25.1,27,9.2,51,18.4,13,4.3,63,22,19,6.1,65,22,21,6.5,77,25.2,20,6,57,18.2,19,5.6,56,17.4
