Year,Geography,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other
2014,"Howard County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Howard County, IN",31,9,51,Data suppressed,Data suppressed
2014,"Howard County, MD",191,47,218,19,9
2014,"Howard County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Howard County, NE",0,0,0,0,0
2014,"Howard County, TX",22,17,63,11,0
2014,"Howell County, MO",11,Data suppressed,6,Data suppressed,0
2014,"Hubbard County, MN",Data suppressed,0,5,Data suppressed,0
2014,"Hudson County, NJ","1,214",986,"2,231",168,74
2014,"Hudspeth County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Huerfano County, CO",0,Data suppressed,Data suppressed,Data suppressed,0
2014,"Hughes County, OK",Data suppressed,Data suppressed,10,Data suppressed,0
2014,"Hughes County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Humboldt County, CA",30,30,63,17,7
2014,"Humboldt County, IA",Data suppressed,Data suppressed,0,Data suppressed,0
2014,"Humboldt County, NV",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Humphreys County, MS",12,Data suppressed,14,Data suppressed,0
2014,"Humphreys County, TN",Data suppressed,Data suppressed,10,Data suppressed,0
2014,"Hunt County, TX",19,16,49,5,0
2014,"Hunterdon County, NJ",38,74,69,Data suppressed,Data suppressed
2014,"Huntingdon County, PA",8,27,15,Data suppressed,Data suppressed
2014,"Huntington County, IN",5,Data suppressed,8,Data suppressed,0
2014,"Huron County, MI",Data suppressed,Data suppressed,Data suppressed,0,0
2014,"Huron County, OH",10,Data suppressed,14,Data suppressed,0
2014,"Hutchinson County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Hutchinson County, TX",Data suppressed,Data suppressed,7,Data suppressed,0
2014,"Hyde County, NC",Data suppressed,Data suppressed,Data suppressed,0,0
2014,"Hyde County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Iberia Parish, LA",29,14,60,5,0
2014,"Iberville Parish, LA",142,76,88,Data suppressed,Data suppressed
2014,"Ida County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Idaho County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Imperial County, CA",43,36,150,Data suppressed,Data suppressed
2014,"Independence County, AR",8,Data suppressed,18,Data suppressed,0
2014,"Indian River County, FL",154,37,123,14,9
2014,"Indiana County, PA",Data suppressed,5,18,0,Data suppressed
2014,"Ingham County, MI",89,41,244,25,11
2014,"Inyo County, CA",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Ionia County, MI",12,Data suppressed,17,Data suppressed,0
2014,"Iosco County, MI",Data suppressed,Data suppressed,8,Data suppressed,0
2014,"Iowa County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Iowa County, WI",Data suppressed,0,5,Data suppressed,0
