Year,Geography,Female,,Male,
2008,"Barrow County, GA",26,92.3,46,169.3
2008,"Barry County, MI",5,20.4,13,53.2
2008,"Barry County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bartholomew County, IN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Barton County, KS",8,68.1,14,127.1
2008,"Barton County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bartow County, GA",37,96,118,319.5
2008,"Bastrop County, TX",15,51.3,62,203.3
2008,"Bates County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bath County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bath County, VA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Baxter County, AR",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bay County, FL",83,119,236,352.1
2008,"Bay County, MI",10,21.2,45,102.7
2008,"Bayfield County, WI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Baylor County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Beadle County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bear Lake County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Beaufort County, NC",32,155.5,68,373.5
2008,"Beaufort County, SC",98,151.8,208,333.1
2008,"Beauregard Parish, LA",5,35,27,188.2
2008,"Beaver County, OK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Beaver County, PA",16,20.6,67,95.1
2008,"Beaver County, UT",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Beaverhead County, MT",0,0,0,0
2008,"Becker County, MN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Beckham County, OK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bedford County, PA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bedford County, TN",7,38.1,18,99.4
2008,"Bedford County, VA",9,28.7,30,98.5
2008,"Bee County, TX",6,58.5,168,982
2008,"Belknap County, NH",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bell County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bell County, TX",91,80.8,227,209.8
2008,"Belmont County, OH",6,20.3,29,99.2
2008,"Beltrami County, MN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Ben Hill County, GA",9,123.5,23,347.8
2008,"Benewah County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bennett County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bennington County, VT",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Benson County, ND",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bent County, CO",0,0,0,0
2008,"Benton County, AR",34,38.3,105,121.2
2008,"Benton County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Benton County, IN",0,0,6,169.7
2008,"Benton County, MN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Benton County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Benton County, MS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Benton County, OR",7,19.5,25,71.2
2008,"Benton County, TN",0,0,7,106.8
2008,"Benton County, WA",20,30,52,79
2008,"Benzie County, MI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bergen County, NJ",450,115.8,"1,130",311.9
2008,"Berkeley County, SC",75,107.1,156,227.4
2008,"Berkeley County, WV",21,49.8,88,211.1
2008,"Berks County, PA",286,166.3,522,317.3
2008,"Berkshire County, MA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bernalillo County, NM",113,42.3,845,332.3
2008,"Berrien County, GA",6,84.4,26,387.2
2008,"Berrien County, MI",92,132.5,134,210.1
2008,"Bertie County, NC",24,280.8,35,444.8
2008,"Bethel Census Area, AK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bexar County, TX",588,88.4,"3,244",522.7
2008,"Bibb County, AL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bibb County, GA",340,492.8,532,953.1
2008,"Bienville Parish, LA",10,153.8,20,340.9
2008,"Big Horn County, MT",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Big Horn County, WY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Big Stone County, MN",0,0,0,0
2008,"Billings County, ND",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bingham County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Black Hawk County, IA",22,39.1,46,89.3
2008,"Blackford County, IN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bladen County, NC",30,212.8,48,377.9
2008,"Blaine County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Blaine County, MT",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Blaine County, NE",0,0,0,0
2008,"Blaine County, OK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Blair County, PA",14,25,59,115.9
2008,"Blanco County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bland County, VA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bleckley County, GA",23,426.3,20,379.4
2008,"Bledsoe County, TN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Blount County, AL",6,24.9,28,118.1
2008,"Blount County, TN",12,22.6,65,131.6
2008,"Blue Earth County, MN",7,26.8,16,61.9
2008,"Boise County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bolivar County, MS",50,309.3,65,469.8
2008,"Bollinger County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
