State,County,Geography,FIPS,Cases,Rate per 100000,Population,Indicator,Year
TN,Lewis County,"Lewis County, TN",47101,0,0,"10,270",HIV diagnoses,2018
NY,Lewis County,"Lewis County, NY",36049,0,0,"22,137",HIV diagnoses,2018
MO,Lewis County,"Lewis County, MO",29111,0,0,"8,323",HIV diagnoses,2018
KY,Lewis County,"Lewis County, KY",21135,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VA,Lexington City,"Lexington City, VA",51678,0,0,"6,691",HIV diagnoses,2018
SC,Lexington County,"Lexington County, SC",45063,34,13.8,"246,634",HIV diagnoses,2018
GA,Liberty County,"Liberty County, GA",13179,17,35.5,"47,901",HIV diagnoses,2018
FL,Liberty County,"Liberty County, FL",12077,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Liberty County,"Liberty County, TX",48291,12,17.2,"69,769",HIV diagnoses,2018
MT,Liberty County,"Liberty County, MT",30051,0,0,"2,053",HIV diagnoses,2018
OH,Licking County,"Licking County, OH",39089,10,6.8,"146,915",HIV diagnoses,2018
TX,Limestone County,"Limestone County, TX",48293,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
AL,Limestone County,"Limestone County, AL",1083,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
WY,Lincoln County,"Lincoln County, WY",56023,0,0,"15,755",HIV diagnoses,2018
WI,Lincoln County,"Lincoln County, WI",55069,0,0,"24,235",HIV diagnoses,2018
WV,Lincoln County,"Lincoln County, WV",54043,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
WA,Lincoln County,"Lincoln County, WA",53043,0,0,"9,143",HIV diagnoses,2018
ID,Lincoln County,"Lincoln County, ID",16063,0,0,"4,279",HIV diagnoses,2018
GA,Lincoln County,"Lincoln County, GA",13181,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
CO,Lincoln County,"Lincoln County, CO",8073,0,0,"4,806",HIV diagnoses,2018
AR,Lincoln County,"Lincoln County, AR",5079,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TN,Lincoln County,"Lincoln County, TN",47103,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
SD,Lincoln County,"Lincoln County, SD",46083,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
OR,Lincoln County,"Lincoln County, OR",41041,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
OK,Lincoln County,"Lincoln County, OK",40081,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NC,Lincoln County,"Lincoln County, NC",37109,8,11.2,"71,547",HIV diagnoses,2018
NM,Lincoln County,"Lincoln County, NM",35027,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NV,Lincoln County,"Lincoln County, NV",32017,0,0,"4,510",HIV diagnoses,2018
NE,Lincoln County,"Lincoln County, NE",31111,0,0,"29,317",HIV diagnoses,2018
MT,Lincoln County,"Lincoln County, MT",30053,0,0,"17,306",HIV diagnoses,2018
MO,Lincoln County,"Lincoln County, MO",29113,0,0,"47,210",HIV diagnoses,2018
MS,Lincoln County,"Lincoln County, MS",28085,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MN,Lincoln County,"Lincoln County, MN",27081,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
ME,Lincoln County,"Lincoln County, ME",23015,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KY,Lincoln County,"Lincoln County, KY",21137,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
