State,County,Geography,FIPS,Cases,Rate per 100000,Population,Indicator,Year
VA,Dickenson County,"Dickenson County, VA",51051,0,0,"12,511",HIV diagnoses,2018
ND,Dickey County,"Dickey County, ND",38021,0,0,"4,051",HIV diagnoses,2018
MI,Dickinson County,"Dickinson County, MI",26043,0,0,"21,777",HIV diagnoses,2018
KS,Dickinson County,"Dickinson County, KS",20041,0,0,"15,609",HIV diagnoses,2018
IA,Dickinson County,"Dickinson County, IA",19059,0,0,"14,824",HIV diagnoses,2018
TN,Dickson County,"Dickson County, TN",47043,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
AK,Dillingham Census Area,"Dillingham Census Area, AK",2070,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
SC,Dillon County,"Dillon County, SC",45033,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Dimmit County,"Dimmit County, TX",48127,0,0,"8,136",HIV diagnoses,2018
VA,Dinwiddie County,"Dinwiddie County, VA",51053,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
DC,District Of Columbia,"District Of Columbia, DC",11001,208,34.6,"601,238",HIV diagnoses,2018
ND,Divide County,"Divide County, ND",38023,0,0,"1,905",HIV diagnoses,2018
FL,Dixie County,"Dixie County, FL",12029,0,0,"14,546",HIV diagnoses,2018
NE,Dixon County,"Dixon County, NE",31051,0,0,"4,675",HIV diagnoses,2018
WV,Doddridge County,"Doddridge County, WV",54017,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
WI,Dodge County,"Dodge County, WI",55027,0,0,"75,903",HIV diagnoses,2018
GA,Dodge County,"Dodge County, GA",13091,0,0,"17,858",HIV diagnoses,2018
NE,Dodge County,"Dodge County, NE",31053,0,0,"30,324",HIV diagnoses,2018
MN,Dodge County,"Dodge County, MN",27039,0,0,"17,088",HIV diagnoses,2018
CO,Dolores County,"Dolores County, CO",8033,0,0,"1,791",HIV diagnoses,2018
KS,Doniphan County,"Doniphan County, KS",20043,0,0,"6,522",HIV diagnoses,2018
TX,Donley County,"Donley County, TX",48129,0,0,"2,860",HIV diagnoses,2018
GA,Dooly County,"Dooly County, GA",13093,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
WI,Door County,"Door County, WI",55029,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
SC,Dorchester County,"Dorchester County, SC",45035,20,15,"133,024",HIV diagnoses,2018
MD,Dorchester County,"Dorchester County, MD",24019,0,0,"27,226",HIV diagnoses,2018
GA,Dougherty County,"Dougherty County, GA",13095,43,56.7,"75,814",HIV diagnoses,2018
WI,Douglas County,"Douglas County, WI",55031,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
WA,Douglas County,"Douglas County, WA",53017,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IL,Douglas County,"Douglas County, IL",17041,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
GA,Douglas County,"Douglas County, GA",13097,29,24.3,"119,311",HIV diagnoses,2018
CO,Douglas County,"Douglas County, CO",8035,12,4.2,"282,454",HIV diagnoses,2018
SD,Douglas County,"Douglas County, SD",46043,0,0,"2,396",HIV diagnoses,2018
OR,Douglas County,"Douglas County, OR",41019,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NV,Douglas County,"Douglas County, NV",32005,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NE,Douglas County,"Douglas County, NE",31055,36,7.8,"460,160",HIV diagnoses,2018
MO,Douglas County,"Douglas County, MO",29067,0,0,"11,286",HIV diagnoses,2018
MN,Douglas County,"Douglas County, MN",27041,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KS,Douglas County,"Douglas County, KS",20045,5,4.7,"105,550",HIV diagnoses,2018
NM,Doña Ana County,"Doña Ana County, NM",35013,16,8.9,"179,349",HIV diagnoses,2018
AR,Drew County,"Drew County, AR",5043,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IN,Dubois County,"Dubois County, IN",18037,0,0,"35,294",HIV diagnoses,2018
IA,Dubuque County,"Dubuque County, IA",19061,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
UT,Duchesne County,"Duchesne County, UT",49013,0,0,"15,058",HIV diagnoses,2018
MA,Dukes County,"Dukes County, MA",25007,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NE,Dundy County,"Dundy County, NE",31057,0,0,"1,529",HIV diagnoses,2018
MO,Dunklin County,"Dunklin County, MO",29069,0,0,"23,979",HIV diagnoses,2018
WI,Dunn County,"Dunn County, WI",55033,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
ND,Dunn County,"Dunn County, ND",38025,0,0,"3,547",HIV diagnoses,2018
IL,Dupage County,"Dupage County, IL",17043,39,5,"780,304",HIV diagnoses,2018
NC,Duplin County,"Duplin County, NC",37061,5,10.2,"48,881",HIV diagnoses,2018
NC,Durham County,"Durham County, NC",37063,60,22.4,"267,697",HIV diagnoses,2018
NY,Dutchess County,"Dutchess County, NY",36027,15,5.9,"256,185",HIV diagnoses,2018
FL,Duval County,"Duval County, FL",12031,276,34.9,"790,768",HIV diagnoses,2018
TX,Duval County,"Duval County, TX",48131,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TN,Dyer County,"Dyer County, TN",47045,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
CO,Eagle County,"Eagle County, CO",8037,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
GA,Early County,"Early County, GA",13099,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
LA,East Baton Rouge Parish,"East Baton Rouge Parish, LA",22033,178,48.4,"367,944",HIV diagnoses,2018
LA,East Carroll Parish,"East Carroll Parish, LA",22035,0,0,"5,745",HIV diagnoses,2018
LA,East Feliciana Parish,"East Feliciana Parish, LA",22037,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Eastland County,"Eastland County, TX",48133,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MI,Eaton County,"Eaton County, MI",26045,8,8.5,"93,945",HIV diagnoses,2018
WI,Eau Claire County,"Eau Claire County, WI",55035,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
GA,Echols County,"Echols County, GA",13101,0,0,"3,236",HIV diagnoses,2018
TX,Ector County,"Ector County, TX",48135,22,17.5,"125,621",HIV diagnoses,2018
ND,Eddy County,"Eddy County, ND",38027,0,0,"1,924",HIV diagnoses,2018
NM,Eddy County,"Eddy County, NM",35015,5,10.7,"46,753",HIV diagnoses,2018
IL,Edgar County,"Edgar County, IL",17045,0,0,"14,908",HIV diagnoses,2018
NC,Edgecombe County,"Edgecombe County, NC",37065,13,29.7,"43,711",HIV diagnoses,2018
SC,Edgefield County,"Edgefield County, SC",45037,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KY,Edmonson County,"Edmonson County, KY",21061,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
SD,Edmunds County,"Edmunds County, SD",46045,0,0,"3,195",HIV diagnoses,2018
IL,Edwards County,"Edwards County, IL",17047,0,0,"5,399",HIV diagnoses,2018
TX,Edwards County,"Edwards County, TX",48137,0,0,"1,599",HIV diagnoses,2018
KS,Edwards County,"Edwards County, KS",20047,0,0,"2,376",HIV diagnoses,2018
IL,Effingham County,"Effingham County, IL",17049,0,0,"28,320",HIV diagnoses,2018
GA,Effingham County,"Effingham County, GA",13103,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
CA,El Dorado County,"El Dorado County, CA",6017,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
CO,El Paso County,"El Paso County, CO",8041,50,8.5,"589,313",HIV diagnoses,2018
TX,El Paso County,"El Paso County, TX",48141,140,20.7,"676,423",HIV diagnoses,2018
GA,Elbert County,"Elbert County, GA",13105,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
CO,Elbert County,"Elbert County, CO",8039,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
PA,Elk County,"Elk County, PA",42047,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KS,Elk County,"Elk County, KS",20049,0,0,"2,107",HIV diagnoses,2018
IN,Elkhart County,"Elkhart County, IN",18039,13,7.9,"164,937",HIV diagnoses,2018
NV,Elko County,"Elko County, NV",32007,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KY,Elliott County,"Elliott County, KY",21063,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Ellis County,"Ellis County, TX",48139,20,13.7,"145,703",HIV diagnoses,2018
OK,Ellis County,"Ellis County, OK",40045,0,0,"3,321",HIV diagnoses,2018
KS,Ellis County,"Ellis County, KS",20051,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KS,Ellsworth County,"Ellsworth County, KS",20053,0,0,"5,398",HIV diagnoses,2018
ID,Elmore County,"Elmore County, ID",16039,0,0,"21,995",HIV diagnoses,2018
AL,Elmore County,"Elmore County, AL",1051,11,15.9,"69,083",HIV diagnoses,2018
GA,Emanuel County,"Emanuel County, GA",13107,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
UT,Emery County,"Emery County, UT",49015,0,0,"8,018",HIV diagnoses,2018
MI,Emmet County,"Emmet County, MI",26047,0,0,"28,923",HIV diagnoses,2018
IA,Emmet County,"Emmet County, IA",19063,0,0,"7,946",HIV diagnoses,2018
ND,Emmons County,"Emmons County, ND",38029,0,0,"2,841",HIV diagnoses,2018
VA,Emporia City,"Emporia City, VA",51595,0,0,"4,414",HIV diagnoses,2018
TX,Erath County,"Erath County, TX",48143,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
PA,Erie County,"Erie County, PA",42049,13,5.6,"230,976",HIV diagnoses,2018
OH,Erie County,"Erie County, OH",39043,5,7.8,"64,081",HIV diagnoses,2018
NY,Erie County,"Erie County, NY",36029,46,5.8,"788,176",HIV diagnoses,2018
FL,Escambia County,"Escambia County, FL",12033,57,21.3,"267,313",HIV diagnoses,2018
AL,Escambia County,"Escambia County, AL",1053,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NV,Esmeralda County,"Esmeralda County, NV",32009,0,0,735,HIV diagnoses,2018
VA,Essex County,"Essex County, VA",51057,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VT,Essex County,"Essex County, VT",50009,0,0,"5,478",HIV diagnoses,2018
NY,Essex County,"Essex County, NY",36031,0,0,"33,154",HIV diagnoses,2018
NJ,Essex County,"Essex County, NJ",34013,266,40.1,"662,744",HIV diagnoses,2018
MA,Essex County,"Essex County, MA",25009,74,11,"672,124",HIV diagnoses,2018
KY,Estill County,"Estill County, KY",21065,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
AL,Etowah County,"Etowah County, AL",1055,5,5.7,"86,979",HIV diagnoses,2018
NV,Eureka County,"Eureka County, NV",32011,0,0,"1,656",HIV diagnoses,2018
LA,Evangeline Parish,"Evangeline Parish, LA",22039,10,36.6,"27,338",HIV diagnoses,2018
GA,Evans County,"Evans County, GA",13109,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
AK,Fairbanks North Star Borough,"Fairbanks North Star Borough, AK",2090,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VA,Fairfax City,"Fairfax City, VA",51600,0,0,"19,760",HIV diagnoses,2018
VA,Fairfax County,"Fairfax County, VA",51059,95,9.9,"957,826",HIV diagnoses,2018
CT,Fairfield County,"Fairfield County, CT",9001,51,6.4,"797,687",HIV diagnoses,2018
SC,Fairfield County,"Fairfield County, SC",45039,5,25.8,"19,402",HIV diagnoses,2018
OH,Fairfield County,"Fairfield County, OH",39045,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
SD,Fall River County,"Fall River County, SD",46047,0,0,"5,954",HIV diagnoses,2018
MT,Fallon County,"Fallon County, MT",30025,0,0,"2,343",HIV diagnoses,2018
VA,Falls Church City,"Falls Church City, VA",51610,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Falls County,"Falls County, TX",48145,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
GA,Fannin County,"Fannin County, GA",13111,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Fannin County,"Fannin County, TX",48147,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MN,Faribault County,"Faribault County, MN",27043,0,0,"11,623",HIV diagnoses,2018
SD,Faulk County,"Faulk County, SD",46049,0,0,"1,890",HIV diagnoses,2018
AR,Faulkner County,"Faulkner County, AR",5045,16,15.4,"104,234",HIV diagnoses,2018
VA,Fauquier County,"Fauquier County, VA",51061,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
WV,Fayette County,"Fayette County, WV",54019,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IL,Fayette County,"Fayette County, IL",17051,0,0,"18,227",HIV diagnoses,2018
GA,Fayette County,"Fayette County, GA",13113,14,14.5,"96,563",HIV diagnoses,2018
AL,Fayette County,"Fayette County, AL",1057,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Fayette County,"Fayette County, TX",48149,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TN,Fayette County,"Fayette County, TN",47047,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
PA,Fayette County,"Fayette County, PA",42051,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
OH,Fayette County,"Fayette County, OH",39047,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KY,Fayette County,"Fayette County, KY",21067,46,16.8,"274,207",HIV diagnoses,2018
IA,Fayette County,"Fayette County, IA",19065,0,0,"16,739",HIV diagnoses,2018
IN,Fayette County,"Fayette County, IN",18041,0,0,"19,646",HIV diagnoses,2018
TN,Fentress County,"Fentress County, TN",47049,0,0,"15,562",HIV diagnoses,2018
MT,Fergus County,"Fergus County, MT",30027,0,0,"9,432",HIV diagnoses,2018
WA,Ferry County,"Ferry County, WA",53019,0,0,"6,698",HIV diagnoses,2018
NE,Fillmore County,"Fillmore County, NE",31059,0,0,"4,784",HIV diagnoses,2018
MN,Fillmore County,"Fillmore County, MN",27045,0,0,"17,296",HIV diagnoses,2018
KS,Finney County,"Finney County, KS",20055,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Fisher County,"Fisher County, TX",48151,0,0,"3,245",HIV diagnoses,2018
FL,Flagler County,"Flagler County, FL",12035,9,9.1,"99,227",HIV diagnoses,2018
MT,Flathead County,"Flathead County, MT",30029,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KY,Fleming County,"Fleming County, KY",21069,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
WI,Florence County,"Florence County, WI",55037,0,0,"3,869",HIV diagnoses,2018
SC,Florence County,"Florence County, SC",45041,25,21.8,"114,885",HIV diagnoses,2018
VA,Floyd County,"Floyd County, VA",51063,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
GA,Floyd County,"Floyd County, GA",13115,12,14.7,"81,830",HIV diagnoses,2018
TX,Floyd County,"Floyd County, TX",48153,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KY,Floyd County,"Floyd County, KY",21071,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IA,Floyd County,"Floyd County, IA",19067,0,0,"13,212",HIV diagnoses,2018
IN,Floyd County,"Floyd County, IN",18043,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VA,Fluvanna County,"Fluvanna County, VA",51065,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Foard County,"Foard County, TX",48155,0,0,"1,036",HIV diagnoses,2018
WI,Fond Du Lac County,"Fond Du Lac County, WI",55039,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IL,Ford County,"Ford County, IL",17053,0,0,"11,154",HIV diagnoses,2018
KS,Ford County,"Ford County, KS",20057,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
WI,Forest County,"Forest County, WI",55041,0,0,"7,727",HIV diagnoses,2018
PA,Forest County,"Forest County, PA",42053,0,0,"6,872",HIV diagnoses,2018
MS,Forrest County,"Forrest County, MS",28035,29,46.6,"62,263",HIV diagnoses,2018
GA,Forsyth County,"Forsyth County, GA",13117,7,3.6,"192,182",HIV diagnoses,2018
NC,Forsyth County,"Forsyth County, NC",37067,67,21.1,"317,190",HIV diagnoses,2018
TX,Fort Bend County,"Fort Bend County, TX",48157,86,13.5,"634,767",HIV diagnoses,2018
ND,Foster County,"Foster County, ND",38031,0,0,"2,720",HIV diagnoses,2018
IN,Fountain County,"Fountain County, IN",18045,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VA,Franklin City,"Franklin City, VA",51620,0,0,"6,660",HIV diagnoses,2018
WA,Franklin County,"Franklin County, WA",53021,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VA,Franklin County,"Franklin County, VA",51067,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VT,Franklin County,"Franklin County, VT",50011,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
ID,Franklin County,"Franklin County, ID",16041,0,0,"10,723",HIV diagnoses,2018
GA,Franklin County,"Franklin County, GA",13119,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
FL,Franklin County,"Franklin County, FL",12037,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
AR,Franklin County,"Franklin County, AR",5047,0,0,"14,980",HIV diagnoses,2018
AL,Franklin County,"Franklin County, AL",1059,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Franklin County,"Franklin County, TX",48159,0,0,"9,035",HIV diagnoses,2018
TN,Franklin County,"Franklin County, TN",47051,0,0,"36,115",HIV diagnoses,2018
PA,Franklin County,"Franklin County, PA",42055,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
OH,Franklin County,"Franklin County, OH",39049,199,18.4,"1,083,574",HIV diagnoses,2018
NC,Franklin County,"Franklin County, NC",37069,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NY,Franklin County,"Franklin County, NY",36033,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NE,Franklin County,"Franklin County, NE",31061,0,0,"2,606",HIV diagnoses,2018
MO,Franklin County,"Franklin County, MO",29071,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MS,Franklin County,"Franklin County, MS",28037,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MA,Franklin County,"Franklin County, MA",25011,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
ME,Franklin County,"Franklin County, ME",23007,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KY,Franklin County,"Franklin County, KY",21073,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KS,Franklin County,"Franklin County, KS",20059,0,0,"21,327",HIV diagnoses,2018
IA,Franklin County,"Franklin County, IA",19069,0,0,"8,450",HIV diagnoses,2018
IN,Franklin County,"Franklin County, IN",18047,0,0,"19,140",HIV diagnoses,2018
IL,Franklin County,"Franklin County, IL",17055,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
LA,Franklin Parish,"Franklin Parish, LA",22041,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VA,Frederick County,"Frederick County, VA",51069,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MD,Frederick County,"Frederick County, MD",24021,22,10.3,"214,056",HIV diagnoses,2018
VA,Fredericksburg City,"Fredericksburg City, VA",51630,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MN,Freeborn County,"Freeborn County, MN",27047,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Freestone County,"Freestone County, TX",48161,0,0,"16,657",HIV diagnoses,2018
WY,Fremont County,"Fremont County, WY",56013,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
ID,Fremont County,"Fremont County, ID",16043,0,0,"10,868",HIV diagnoses,2018
CO,Fremont County,"Fremont County, CO",8043,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IA,Fremont County,"Fremont County, IA",19071,0,0,"5,874",HIV diagnoses,2018
CA,Fresno County,"Fresno County, CA",6019,108,13.7,"788,423",HIV diagnoses,2018
TX,Frio County,"Frio County, TX",48163,15,90.8,"16,523",HIV diagnoses,2018
NE,Frontier County,"Frontier County, NE",31063,0,0,"2,254",HIV diagnoses,2018
GA,Fulton County,"Fulton County, GA",13121,666,75.2,"886,058",HIV diagnoses,2018
AR,Fulton County,"Fulton County, AR",5049,0,0,"10,540",HIV diagnoses,2018
PA,Fulton County,"Fulton County, PA",42057,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
OH,Fulton County,"Fulton County, OH",39051,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NY,Fulton County,"Fulton County, NY",36035,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KY,Fulton County,"Fulton County, KY",21075,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IN,Fulton County,"Fulton County, IN",18049,0,0,"16,756",HIV diagnoses,2018
IL,Fulton County,"Fulton County, IL",17057,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NE,Furnas County,"Furnas County, NE",31065,0,0,"4,018",HIV diagnoses,2018
FL,Gadsden County,"Gadsden County, FL",12039,13,33.7,"38,605",HIV diagnoses,2018
NE,Gage County,"Gage County, NE",31067,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Gaines County,"Gaines County, TX",48165,0,0,"15,414",HIV diagnoses,2018
VA,Galax City,"Galax City, VA",51640,0,0,"5,420",HIV diagnoses,2018
MT,Gallatin County,"Gallatin County, MT",30031,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KY,Gallatin County,"Gallatin County, KY",21077,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IL,Gallatin County,"Gallatin County, IL",17059,0,0,"4,324",HIV diagnoses,2018
OH,Gallia County,"Gallia County, OH",39053,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Galveston County,"Galveston County, TX",48167,36,12.9,"279,550",HIV diagnoses,2018
NE,Garden County,"Garden County, NE",31069,0,0,"1,629",HIV diagnoses,2018
WA,Garfield County,"Garfield County, WA",53023,0,0,"1,897",HIV diagnoses,2018
UT,Garfield County,"Garfield County, UT",49017,0,0,"4,284",HIV diagnoses,2018
CO,Garfield County,"Garfield County, CO",8045,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
OK,Garfield County,"Garfield County, OK",40047,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NE,Garfield County,"Garfield County, NE",31071,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MT,Garfield County,"Garfield County, MT",30033,0,0,"1,062",HIV diagnoses,2018
AR,Garland County,"Garland County, AR",5051,5,5.9,"84,958",HIV diagnoses,2018
KY,Garrard County,"Garrard County, KY",21079,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MD,Garrett County,"Garrett County, MD",24023,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
OK,Garvin County,"Garvin County, OK",40049,0,0,"22,833",HIV diagnoses,2018
TX,Garza County,"Garza County, TX",48169,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MO,Gasconade County,"Gasconade County, MO",29073,0,0,"12,593",HIV diagnoses,2018
NC,Gaston County,"Gaston County, NC",37071,29,15.5,"187,141",HIV diagnoses,2018
NC,Gates County,"Gates County, NC",37073,0,0,"9,992",HIV diagnoses,2018
KS,Geary County,"Geary County, KS",20061,10,40.9,"24,422",HIV diagnoses,2018
OH,Geauga County,"Geauga County, OH",39055,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
ID,Gem County,"Gem County, ID",16045,0,0,"14,806",HIV diagnoses,2018
NY,Genesee County,"Genesee County, NY",36037,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MI,Genesee County,"Genesee County, MI",26049,30,8.8,"342,431",HIV diagnoses,2018
AL,Geneva County,"Geneva County, AL",1061,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MO,Gentry County,"Gentry County, MO",29075,0,0,"5,422",HIV diagnoses,2018
MS,George County,"George County, MS",28039,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
SC,Georgetown County,"Georgetown County, SC",45043,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TN,Gibson County,"Gibson County, TN",47053,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IN,Gibson County,"Gibson County, IN",18051,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
AZ,Gila County,"Gila County, AZ",4007,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
FL,Gilchrist County,"Gilchrist County, FL",12041,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VA,Giles County,"Giles County, VA",51071,0,0,"14,436",HIV diagnoses,2018
TN,Giles County,"Giles County, TN",47055,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Gillespie County,"Gillespie County, TX",48171,0,0,"23,048",HIV diagnoses,2018
OR,Gilliam County,"Gilliam County, OR",41021,0,0,"1,627",HIV diagnoses,2018
WV,Gilmer County,"Gilmer County, WV",54021,0,0,"7,183",HIV diagnoses,2018
GA,Gilmer County,"Gilmer County, GA",13123,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
CO,Gilpin County,"Gilpin County, CO",8047,0,0,"5,482",HIV diagnoses,2018
MT,Glacier County,"Glacier County, MT",30035,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
FL,Glades County,"Glades County, FL",12043,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MI,Gladwin County,"Gladwin County, MI",26051,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
GA,Glascock County,"Glascock County, GA",13125,0,0,"2,559",HIV diagnoses,2018
TX,Glasscock County,"Glasscock County, TX",48173,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
CA,Glenn County,"Glenn County, CA",6021,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VA,Gloucester County,"Gloucester County, VA",51073,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NJ,Gloucester County,"Gloucester County, NJ",34015,11,4.4,"247,685",HIV diagnoses,2018
GA,Glynn County,"Glynn County, GA",13127,18,24.9,"72,146",HIV diagnoses,2018
MI,Gogebic County,"Gogebic County, MI",26053,0,0,"13,437",HIV diagnoses,2018
ND,Golden Valley County,"Golden Valley County, ND",38033,0,0,"1,511",HIV diagnoses,2018
MT,Golden Valley County,"Golden Valley County, MT",30037,0,0,705,HIV diagnoses,2018
TX,Goliad County,"Goliad County, TX",48175,0,0,"6,469",HIV diagnoses,2018
TX,Gonzales County,"Gonzales County, TX",48177,0,0,"16,819",HIV diagnoses,2018
VA,Goochland County,"Goochland County, VA",51075,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MN,Goodhue County,"Goodhue County, MN",27049,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
ID,Gooding County,"Gooding County, ID",16047,0,0,"12,187",HIV diagnoses,2018
GA,Gordon County,"Gordon County, GA",13129,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
WY,Goshen County,"Goshen County, WY",56015,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NE,Gosper County,"Gosper County, NE",31073,0,0,"1,695",HIV diagnoses,2018
KS,Gove County,"Gove County, KS",20063,0,0,"2,153",HIV diagnoses,2018
GA,Grady County,"Grady County, GA",13131,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
OK,Grady County,"Grady County, OK",40051,0,0,"46,210",HIV diagnoses,2018
NH,Grafton County,"Grafton County, NH",33009,0,0,"79,705",HIV diagnoses,2018
AZ,Graham County,"Graham County, AZ",4009,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NC,Graham County,"Graham County, NC",37075,0,0,"7,319",HIV diagnoses,2018
KS,Graham County,"Graham County, KS",20065,0,0,"2,146",HIV diagnoses,2018
TN,Grainger County,"Grainger County, TN",47057,0,0,"19,921",HIV diagnoses,2018
UT,Grand County,"Grand County, UT",49019,0,0,"8,246",HIV diagnoses,2018
CO,Grand County,"Grand County, CO",8049,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
