,Geography,Avg_Cases_Before,Avg_Rate_Before,Avg_Cases_After,Avg_Rate_After,Difference_Cases,Difference_Rates
164,Swift County MN,0.0,0.0,0.0,0.0,0.0,0.0
165,Sweet Grass County MT,0.0,0.0,0.0,0.0,0.0,0.0
166,Swain County NC,0.0,0.0,0.0,0.0,0.0,0.0
167,Sutton County TX,0.0,0.0,0.0,0.0,0.0,0.0
168,Sumter County AL,0.0,0.0,,,,
169,Summit County UT,0.0,0.0,0.0,0.0,0.0,0.0
170,Summers County WV,0.0,0.0,0.0,0.0,0.0,0.0
171,Sully County SD,0.0,0.0,0.0,0.0,0.0,0.0
172,Sullivan County PA,0.0,0.0,0.0,0.0,0.0,0.0
173,Sullivan County NH,0.0,0.0,0.0,0.0,0.0,0.0
174,Sullivan County MO,0.0,0.0,0.0,0.0,0.0,0.0
175,Sullivan County IN,0.0,0.0,0.0,0.0,0.0,0.0
176,Sublette County WY,0.0,0.0,0.0,0.0,0.0,0.0
177,Stutsman County ND,0.0,0.0,0.0,0.0,0.0,0.0
178,Storey County NV,0.0,0.0,0.0,0.0,0.0,0.0
179,Stonewall County TX,0.0,0.0,0.0,0.0,0.0,0.0
180,Stone County MS,0.0,0.0,2.0,16.4,-2.0,-16.4
181,Stone County MO,0.0,0.0,0.0,0.0,0.0,0.0
182,Stone County AR,0.0,0.0,0.0,0.0,0.0,0.0
183,Stokes County NC,0.0,0.0,0.0,0.0,0.0,0.0
184,Stoddard County MO,0.0,0.0,0.0,0.0,0.0,0.0
185,Stillwater County MT,0.0,0.0,0.0,0.0,0.0,0.0
186,Stewart County TN,0.0,0.0,0.0,0.0,0.0,0.0
187,Stevens County MN,0.0,0.0,0.0,0.0,0.0,0.0
188,Stevens County KS,0.0,0.0,0.0,0.0,0.0,0.0
189,Steuben County IN,0.0,0.0,0.0,0.0,0.0,0.0
190,Sterling County TX,0.0,0.0,0.0,0.0,0.0,0.0
191,Stephens County OK,0.0,0.0,0.0,0.0,0.0,0.0
192,Stephens County GA,0.0,0.0,0.0,0.0,0.0,0.0
193,Steele County ND,0.0,0.0,0.0,0.0,0.0,0.0
194,Steele County MN,0.0,0.0,0.0,0.0,0.0,0.0
195,Ste. Genevieve County MO,0.0,0.0,0.0,0.0,0.0,0.0
196,Starr County TX,0.0,0.0,6.0,12.3,-6.0,-12.3
197,Stark County ND,0.0,0.0,0.0,0.0,0.0,0.0
198,Stark County IL,0.0,0.0,0.0,0.0,0.0,0.0
199,Stanton County NE,0.0,0.0,0.0,0.0,0.0,0.0
200,Stanton County KS,0.0,0.0,0.0,0.0,0.0,0.0
201,Stanley County SD,0.0,0.0,0.0,0.0,0.0,0.0
202,Stafford County KS,0.0,0.0,0.0,0.0,0.0,0.0
203,Spink County SD,0.0,0.0,0.0,0.0,0.0,0.0
204,Socorro County NM,0.0,0.0,0.0,0.0,0.0,0.0
205,Snyder County PA,0.0,0.0,0.0,0.0,0.0,0.0
206,Smith County KS,0.0,0.0,0.0,0.0,0.0,0.0
207,Slope County ND,0.0,0.0,0.0,0.0,0.0,0.0
208,Sioux County NE,0.0,0.0,0.0,0.0,0.0,0.0
209,Sioux County ND,0.0,0.0,0.0,0.0,0.0,0.0
210,Sierra County NM,0.0,0.0,0.0,0.0,0.0,0.0
211,Sierra County CA,0.0,0.0,0.0,0.0,0.0,0.0
212,Sibley County MN,0.0,0.0,0.0,0.0,0.0,0.0
213,Shoshone County ID,0.0,0.0,0.0,0.0,0.0,0.0
214,Shiawassee County MI,0.0,0.0,0.0,0.0,0.0,0.0
215,Sherman County TX,0.0,0.0,0.0,0.0,0.0,0.0
216,Sherman County OR,0.0,0.0,0.0,0.0,0.0,0.0
217,Sherman County NE,0.0,0.0,0.0,0.0,0.0,0.0
218,Sherman County KS,0.0,0.0,0.0,0.0,0.0,0.0
219,Sheridan County WY,0.0,0.0,0.0,0.0,0.0,0.0
220,Sheridan County NE,0.0,0.0,0.0,0.0,0.0,0.0
221,Sheridan County ND,0.0,0.0,0.0,0.0,0.0,0.0
222,Sheridan County MT,0.0,0.0,0.0,0.0,0.0,0.0
223,Sheridan County KS,0.0,0.0,0.0,0.0,0.0,0.0
224,Shenandoah County VA,0.0,0.0,0.0,0.0,0.0,0.0
225,Shelby County OH,0.0,0.0,6.0,13.8,-6.0,-13.8
226,Shelby County MO,0.0,0.0,0.0,0.0,0.0,0.0
227,Shawano County WI,0.0,0.0,0.0,0.0,0.0,0.0
228,Sharp County AR,0.0,0.0,0.0,0.0,0.0,0.0
229,Shannon County MO,0.0,0.0,0.0,0.0,0.0,0.0
230,Seward County NE,0.0,0.0,0.0,0.0,0.0,0.0
231,Sevier County UT,0.0,0.0,0.0,0.0,0.0,0.0
232,Sevier County AR,0.0,0.0,0.0,0.0,0.0,0.0
233,Sequatchie County TN,0.0,0.0,0.0,0.0,0.0,0.0
234,Seneca County NY,0.0,0.0,0.0,0.0,0.0,0.0
235,Seminole County GA,0.0,0.0,0.0,0.0,0.0,0.0
236,Sedgwick County CO,0.0,0.0,0.0,0.0,0.0,0.0
237,Searcy County AR,0.0,0.0,0.0,0.0,0.0,0.0
238,Scotts Bluff County NE,0.0,0.0,0.0,0.0,0.0,0.0
239,Scott County MO,0.0,0.0,0.0,0.0,0.0,0.0
240,Scott County KS,0.0,0.0,0.0,0.0,0.0,0.0
241,Scott County IN,0.0,0.0,47.0,236.0,-47.0,-236.0
242,Scott County IL,0.0,0.0,0.0,0.0,0.0,0.0
243,Scott County AR,0.0,0.0,0.0,0.0,0.0,0.0
244,Scotland County MO,0.0,0.0,0.0,0.0,0.0,0.0
245,Schuyler County MO,0.0,0.0,0.0,0.0,0.0,0.0
246,Schuyler County IL,0.0,0.0,0.0,0.0,0.0,0.0
247,Schoolcraft County MI,0.0,0.0,0.0,0.0,0.0,0.0
248,Schoharie County NY,0.0,0.0,0.0,0.0,0.0,0.0
249,Schleicher County TX,0.0,0.0,0.0,0.0,0.0,0.0
250,Saunders County NE,0.0,0.0,0.0,0.0,0.0,0.0
251,Sargent County ND,0.0,0.0,0.0,0.0,0.0,0.0
252,Sanpete County UT,0.0,0.0,0.0,0.0,0.0,0.0
253,Sanders County MT,0.0,0.0,0.0,0.0,0.0,0.0
254,Sanborn County SD,0.0,0.0,0.0,0.0,0.0,0.0
255,San Saba County TX,0.0,0.0,0.0,0.0,0.0,0.0
256,San Miguel County CO,0.0,0.0,0.0,0.0,0.0,0.0
257,San Juan County UT,0.0,0.0,0.0,0.0,0.0,0.0
258,San Juan County CO,0.0,0.0,0.0,0.0,0.0,0.0
259,Saline County MO,0.0,0.0,0.0,0.0,0.0,0.0
260,Saline County KS,2.0,5.4,2.0,3.6,0.0,1.8000000000000003
261,Saguache County CO,0.0,0.0,0.0,0.0,0.0,0.0
262,Sagadahoc County ME,0.0,0.0,0.0,0.0,0.0,0.0
263,Russell County VA,0.0,0.0,0.0,0.0,0.0,0.0
264,Russell County KS,0.0,0.0,0.0,0.0,0.0,0.0
265,Rusk County WI,0.0,0.0,0.0,0.0,0.0,0.0
266,Rush County IN,0.0,0.0,0.0,0.0,0.0,0.0
267,Runnels County TX,0.0,0.0,0.0,0.0,0.0,0.0
268,Routt County CO,0.0,0.0,0.0,0.0,0.0,0.0
269,Rosebud County MT,0.0,0.0,0.0,0.0,0.0,0.0
270,Roseau County MN,0.0,0.0,0.0,0.0,0.0,0.0
271,Roosevelt County MT,0.0,0.0,0.0,0.0,0.0,0.0
272,Rooks County KS,0.0,0.0,0.0,0.0,0.0,0.0
273,Roger Mills County OK,0.0,0.0,0.0,0.0,0.0,0.0
274,Rockbridge County VA,0.0,0.0,0.0,0.0,0.0,0.0
275,Rock County NE,0.0,0.0,0.0,0.0,0.0,0.0
276,Rock County MN,0.0,0.0,0.0,0.0,0.0,0.0
277,Roberts County TX,0.0,0.0,0.0,0.0,0.0,0.0
278,Roberts County SD,0.0,0.0,0.0,0.0,0.0,0.0
279,Roane County WV,0.0,0.0,0.0,0.0,0.0,0.0
280,Roane County TN,0.0,0.0,0.0,0.0,0.0,0.0
281,Ritchie County WV,0.0,0.0,0.0,0.0,0.0,0.0
282,Ripley County IN,0.0,0.0,0.0,0.0,0.0,0.0
283,Rio Grande County CO,0.0,0.0,0.0,0.0,0.0,0.0
284,Rio Blanco County CO,0.0,0.0,0.0,0.0,0.0,0.0
285,Ringgold County IA,0.0,0.0,0.0,0.0,0.0,0.0
286,Richland County WI,0.0,0.0,0.0,0.0,0.0,0.0
287,Richland County ND,0.0,0.0,0.0,0.0,0.0,0.0
288,Richland County MT,0.0,0.0,0.0,0.0,0.0,0.0
289,Richland County IL,0.0,0.0,0.0,0.0,0.0,0.0
290,Richardson County NE,0.0,0.0,0.0,0.0,0.0,0.0
291,Rich County UT,0.0,0.0,0.0,0.0,0.0,0.0
292,Rice County KS,0.0,0.0,0.0,0.0,0.0,0.0
293,Rhea County TN,0.0,0.0,0.0,0.0,0.0,0.0
294,Reynolds County MO,0.0,0.0,0.0,0.0,0.0,0.0
295,Republic County KS,0.0,0.0,0.0,0.0,0.0,0.0
296,Renville County ND,0.0,0.0,0.0,0.0,0.0,0.0
