Geography,Avg_Cases_Before,Avg_Rate_Before,Avg_Cases_After,Avg_Rate_After
"Prowers County, CO",0.0,0.0,0.0,0.0
"Price County, WI",0.0,0.0,0.0,0.0
"Presque Isle County, MI",0.0,0.0,0.0,0.0
"Presidio County, TX",0.0,0.0,0.0,0.0
"Prentiss County, MS",0.0,0.0,0.0,0.0
"Preble County, OH",0.0,0.0,0.0,0.0
"Pratt County, KS",0.0,0.0,0.0,0.0
"Prairie County, MT",0.0,0.0,0.0,0.0
"Poweshiek County, IA",0.0,0.0,0.0,0.0
"Power County, ID",0.0,0.0,0.0,0.0
"Powder River County, MT",0.0,0.0,0.0,0.0
"Potter County, SD",0.0,0.0,0.0,0.0
"Potter County, PA",0.0,0.0,0.0,0.0
"Pottawatomie County, KS",0.0,0.0,0.0,0.0
"Posey County, IN",0.0,0.0,0.0,0.0
"Poquoson City, VA",0.0,0.0,0.0,0.0
"Pope County, MN",0.0,0.0,0.0,0.0
"Pontotoc County, OK",0.0,0.0,0.0,0.0
"Pondera County, MT",0.0,0.0,0.0,0.0
"Polk County, NE",0.0,0.0,0.0,0.0
"Polk County, NC",0.0,0.0,0.0,0.0
"Polk County, MO",0.0,0.0,0.0,0.0
"Polk County, MN",0.0,0.0,0.0,0.0
"Polk County, GA",0.0,0.0,5.0,14.5
"Poinsett County, AR",0.0,0.0,,
"Pocahontas County, WV",0.0,0.0,0.0,0.0
"Pocahontas County, IA",0.0,0.0,0.0,0.0
"Plymouth County, IA",0.0,0.0,0.0,0.0
"Plumas County, CA",0.0,0.0,0.0,0.0
"Pleasants County, WV",0.0,0.0,0.0,0.0
"Platte County, WY",0.0,0.0,0.0,0.0
"Platte County, NE",0.0,0.0,0.0,0.0
"Plaquemines Parish, LA",0.0,0.0,0.0,0.0
"Piute County, UT",0.0,0.0,0.0,0.0
"Pitkin County, CO",0.0,0.0,0.0,0.0
"Piscataquis County, ME",0.0,0.0,0.0,0.0
"Pipestone County, MN",0.0,0.0,0.0,0.0
"Pike County, OH",0.0,0.0,0.0,0.0
"Pike County, MO",0.0,0.0,0.0,0.0
"Pike County, IN",0.0,0.0,0.0,0.0
"Pike County, IL",0.0,0.0,0.0,0.0
"Pike County, AR",0.0,0.0,0.0,0.0
"Pierce County, NE",0.0,0.0,0.0,0.0
"Pierce County, ND",0.0,0.0,0.0,0.0
"Pickett County, TN",0.0,0.0,0.0,0.0
"Pickens County, GA",0.0,0.0,0.0,0.0
"Piatt County, IL",0.0,0.0,0.0,0.0
"Phillips County, MT",0.0,0.0,0.0,0.0
"Phillips County, KS",0.0,0.0,0.0,0.0
"Phillips County, CO",0.0,0.0,0.0,0.0
"Phelps County, NE",0.0,0.0,0.0,0.0
"Pettis County, MO",0.0,0.0,2.5,7.15
"Petroleum County, MT",0.0,0.0,0.0,0.0
"Pershing County, NV",0.0,0.0,0.0,0.0
"Perry County, MO",0.0,0.0,0.0,0.0
"Perry County, IN",0.0,0.0,0.0,0.0
"Perry County, AR",0.0,0.0,0.0,0.0
"Perry County, AL",0.0,0.0,0.0,0.0
"Perkins County, SD",0.0,0.0,0.0,0.0
"Perkins County, NE",0.0,0.0,0.0,0.0
"Pepin County, WI",0.0,0.0,0.0,0.0
"Pennington County, MN",0.0,0.0,0.0,0.0
"Pendleton County, WV",0.0,0.0,0.0,0.0
"Pend Oreille County, WA",0.0,0.0,0.0,0.0
"Pembina County, ND",0.0,0.0,0.0,0.0
"Pecos County, TX",0.0,0.0,0.0,0.0
"Payette County, ID",0.0,0.0,0.0,0.0
"Pawnee County, OK",0.0,0.0,0.0,0.0
"Pawnee County, NE",0.0,0.0,0.0,0.0
"Pawnee County, KS",0.0,0.0,0.0,0.0
"Paulding County, GA",1.6666666666666667,1.5,10.2,8.02
"Patrick County, VA",0.0,0.0,0.0,0.0
"Park County, WY",0.0,0.0,0.0,0.0
