Full Name,Diag 08,Diag Rate 08,Diag 09,Diag Rate 09,Diag 10,Diag Rate 10,Diag 11,Diag Rate 11,Diag 12,Diag Rate 12,Diag 13,Diag Rate 13,Diag 14,Diag Rate 14,Diag 15,Diag Rate 15,Diag 16,Diag Rate 16,Diag 17,Diag Rate 17,Diag 18,Diag Rate 18
Camden County NJ,75,17.5,71,16.5,67,15.7,73,17.2,69,16.2,71,16.7,77,18.1,69,16.3,60,14.2,62,14.6,52,12.2
Bronx County NY,815,73.3,711,63.5,652,57.9,644,56.8,570,49.7,539,46.6,520,44.6,530,45.1,517,43.9,502,42.7,457,39
St. Lucie County FL,76,34.2,73,32.7,59,25.2,51,21.5,40,16.7,43,17.7,48,19.4,33,13,44,16.8,65,24.1,49,17.7
Mercer County NJ,97,31.8,73,23.8,93,30.1,64,20.7,50,16.1,61,19.5,65,20.8,57,18.3,58,18.6,49,15.7,43,13.7
Charleston County SC,73,24.8,73,24.4,87,29.3,92,30.4,75,24.3,81,25.7,103,31.9,83,25.1,70,20.7,78,22.8,81,23.4
Honolulu County HI,65,8.6,74,9.7,78,9.7,58,7.1,62,7.6,65,7.9,71,8.6,92,11,60,7.2,59,7.1,53,6.4
Volusia County FL,85,19.8,76,17.7,58,13.5,50,11.6,54,12.5,65,14.9,85,19.2,66,14.6,84,18.2,76,16.2,82,17.1
Hidalgo County TX,65,12.5,77,14.4,87,15,80,13.4,73,12,105,17.1,77,12.3,82,12.9,86,13.3,100,15.3,90,13.6
Durham County NC,94,43.5,77,34.8,84,37.2,66,28.7,65,27.6,69,28.7,64,26,58,23.1,83,32.1,64,24.4,60,22.4
Cumberland County NC,77,31,77,30.6,76,28.8,94,35.3,61,22.9,70,25.9,77,28.5,83,30.7,64,23.5,71,26.3,57,21
Lee County FL,95,19,79,15.8,68,12.7,83,15.3,89,16,78,13.6,76,12.9,84,13.8,98,15.6,77,11.9,75,11.4
Caddo Parish LA,74,35.8,79,38,71,33.8,81,38.4,57,27,77,36.7,88,42.4,77,37.2,90,43.9,80,39.4,53,26.4
Whatcom County WA,10,6,8,4.7,,,5,2.9,,,8,4.5,,,8,4.4,,,8,4.2,,
Upshur County TX,,,8,25.7,,,,,,,0,0,,,,,,,,,,
Union County OH,11,28.2,8,20.3,,,,,,,0,0,,,,,5,10.9,,,,
Stafford County VA,10,10.3,8,8,9,8.6,10,9.4,6,5.5,7,6.3,6,5.3,13,11.3,13,11.1,10,8.3,8,6.5
Spotsylvania County VA,14,14.5,8,8.2,7,7,5,4.9,10,9.8,11,10.6,8,7.6,9,8.4,8,7.4,9,8.2,10,9
Schuylkill County PA,8,6.3,8,6.3,,,,,5,3.9,5,4,,,,,5,4,,,6,4.9
Racine County WI,11,6.7,8,4.8,10,6.2,9,5.6,10,6.2,10,6.2,11,6.8,7,4.3,10,6.2,12,7.3,7,4.3
Putnam County NY,,,8,9.6,6,7.2,,,,,,,,,,,,,,,,
Placer County CA,15,5.3,8,2.8,10,3.4,13,4.4,15,5,13,4.2,13,4.2,13,4.1,19,5.9,18,5.5,10,3
Pike County AL,,,8,31.3,,,,,5,17.5,,,,,6,20.8,6,20.8,,,,
Pickens County SC,8,8,8,8,5,4.9,5,4.9,10,9.7,11,10.7,,,,,9,8.5,5,4.7,16,14.8
Orange County TX,6,8.8,8,11.9,7,10.4,6,8.8,11,16.1,15,22,9,13.1,10,14.5,,,12,17.2,10,14.6
Olmsted County MN,,,8,6.8,,,,,,,,,,,,,,,,,7,5.5
Minnehaha County SD,12,8.1,8,5.3,15,10.8,11,7.9,9,6.3,12,8.3,14,9.5,8,5.4,25,16.6,18,11.7,9,5.8
Mesa County CO,9,7.7,8,6.6,,,,,9,7.3,,,,,0,0,,,,,6,4.6
Macon County AL,6,31.5,8,42.6,7,37.8,,,,,,,0,0,,,6,35.9,6,36.4,,
Logan County OK,,,8,24.5,,,0,0,,,,,,,,,,,,,0,0
Linn County OR,,,8,8.3,,,,,,,5,5.1,6,6,,,7,6.8,5,4.8,,
Lincoln Parish LA,,,8,21.9,5,12.5,6,15,7,17.5,9,22.3,10,24.8,9,22.2,5,12.3,8,19.7,10,24.8
Lasalle Parish LA,10,86,8,69,8,64.8,17,137.3,14,112.9,7,56.6,14,112.7,7,56,,,5,40,7,56.1
Lake County OH,12,6,8,4,,,6,3.1,,,8,4.1,5,2.5,5,2.5,16,8.1,14,7.1,,
Kennebec County ME,5,4.8,8,7.7,,,,,8,7.7,,,,,6,5.8,9,8.6,,,,
Johnson County IA,5,4.6,8,7.1,10,8.9,10,8.8,14,12,11,9.2,6,5,6,4.9,12,9.6,13,10.2,10,7.7
Jefferson County MO,,,8,4.4,11,6.1,,,5,2.8,,,,,7,3.8,6,3.2,8,4.3,,
Houston County AL,9,11.1,8,9.7,11,13.1,10,11.8,17,19.9,7,8.1,,,16,18.4,20,23,18,20.6,11,12.5
Hopewell City VA,5,26.7,8,42.9,,,,,6,33,,,6,33.3,,,,,,,,
Henry County GA,19,12.7,8,5.2,23,14.1,14,8.4,15,8.9,25,14.6,32,18.4,40,22.5,43,23.6,38,20.4,47,24.7
Garland County AR,16,19.3,8,9.6,8,9.8,12,14.5,9,10.9,11,13.2,13,15.6,,,7,8.3,,,5,5.9
Frio County TX,,,8,61.6,7,49.2,8,55.5,6,40.6,7,46.1,9,57.6,9,56.7,7,43.7,,,15,90.8
Franklin County PA,6,5,8,6.6,9,7.2,9,7.2,,,7,5.5,9,7.1,,,5,3.9,7,5.4,,
Ellis County TX,16,13.7,8,6.7,10,8.3,11,9,5,4,9,7.1,9,7,12,9.1,13,9.5,15,10.6,20,13.7
East Feliciana Parish LA,5,28.1,8,44.9,5,28.9,6,34.8,5,29.2,,,6,35.3,,,7,41.3,5,29.6,,
Dallas County AL,16,46.8,8,23.7,5,14,10,28.4,13,37.3,14,40.7,8,23.4,6,17.8,,,7,21.5,8,25.1
Crisp County GA,11,61.8,8,44.8,14,73.5,9,46.2,11,56.7,,,9,47.4,6,31.7,8,42.4,5,26.6,7,37.4
Colquitt County GA,,,8,22.2,9,24.7,12,33,14,38.1,13,35.2,7,19,,,7,19.1,6,16.3,,
Clark County IN,11,12.4,8,8.9,12,13.1,8,8.6,13,14,14,14.9,13,13.7,14,14.6,13,13.5,16,16.4,18,18.3
