Geography,M2F Diag 08,ID Diag 08,M2M Diag 08,M2MID Diag 08,O Diag 08,M2F Diag 09,ID Diag 09,M2M Diag 09,M2MID Diag 09,O Diag 09,M2F Diag 10,ID Diag 10,M2M Diag 10,M2MID Diag 10,O Diag 10,M2F Diag 11,ID Diag 11,M2M Diag 11,M2MID Diag 11,O Diag 11,M2F Diag 12,ID Diag 12,M2M Diag 12,M2MID Diag 12,O Diag 12,M2F Diag 13,ID Diag 13,M2M Diag 13,M2MID Diag 13,O Diag 13,M2F Diag 14,ID Diag 14,M2M Diag 14,M2MID Diag 14,O Diag 14,M2F Diag 15,ID Diag 15,M2M Diag 15,M2MID Diag 15,O Diag 15,M2F Diag 16,ID Diag 16,M2M Diag 16,M2MID Diag 16,O Diag 16,M2F Diag 17,ID Diag 17,M2M Diag 17,M2MID Diag 17,O Diag 17,M2F Diag 18,ID Diag 18,M2M Diag 18,M2MID Diag 18,O Diag 18
Acadia Parish LA,,,,0,0,,0,6,,0,,,5,0,0,,,5,0,0,,,,,,,0,5,,0,,,,0,0,,0,,0,0,,,6,,0,0,0,6,0,0,,,8,0,0
Accomack County VA,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,0,,0,0,,,5,0,0,,0,,0,0,0,0,0,0,0,,,,,,,,,,
Ada County ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adair County IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adair County KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adair County MO,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0
Adair County OK,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0
Adams County CO,10,,47,,0,14,,33,,0,14,,24,,0,,,31,,0,9,,28,,0,5,,23,,0,,,29,,0,,,25,6,0,,,30,,0,8,,49,7,,,,40,,0
Adams County IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adams County ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County IN,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,
Adams County MS,,,,,,,0,,0,0,,,,,,,,,,,,,7,0,0,,0,,0,0,,,,,,,0,,0,0,,,,,,,,,,,6,,,0,0
Adams County ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County NE,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
Adams County OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,
Adams County PA,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
Adams County WA,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,
Adams County WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0
Addison County VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiken County SC,6,,5,0,,,,19,0,0,6,,8,,0,7,,6,,0,12,,13,,0,8,0,12,0,0,5,0,11,0,0,7,,12,,0,8,0,12,0,0,5,,12,,0,7,,16,,0
Aitkin County MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alachua County FL,27,5,32,5,0,15,,40,,0,12,,27,,,14,,42,,0,19,,27,,0,23,,21,,0,17,,41,,0,14,,37,,0,10,,28,,0,18,0,32,0,0,8,,28,,0
Alamance County NC,10,,21,,0,,0,11,,0,,,15,,0,7,0,12,0,0,,0,10,,0,,,13,,0,6,,8,,0,,0,11,,0,,0,16,,0,5,,16,,0,5,,14,,0
Alameda County CA,42,21,157,11,0,58,26,170,14,0,42,15,161,19,0,40,8,159,8,0,22,13,180,16,0,27,15,162,,,29,18,157,,,44,19,191,7,0,50,13,193,,,26,10,153,15,0,31,12,146,,
Alamosa County CO,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Albany County NY,14,7,27,6,0,17,,14,,0,13,,20,,0,8,,17,,0,9,,27,,0,8,,10,,0,6,,16,,0,12,,8,,0,,,17,,0,,,29,0,0,9,,15,,0
Albany County WY,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,
Albemarle County VA,,0,6,,0,,,,0,0,,,5,0,0,,,,,,,,,,,,0,6,,0,,0,,0,0,0,0,5,0,0,,,,,,0,0,0,0,0,,0,8,,0
Alcona County MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
