Full Name,AI_AN Diag 08,AI_AN Diag Rate 08,Asian Diag 08,Asian Diag Rate 08,Black Diag 08,Black Diag Rate 08,Latino Diag 08,Latino Diag Rate 08,Multi Diag 08,Multi Diag Rate 08,NH_OPI Diag 08,NH_OPI Diag Rate 08,White Diag 08,White Diag Rate 08,AI_AN Diag 09,AI_AN Diag Rate 09,Asian Diag 09,Asian Diag Rate 09,Black Diag 09,Black Diag Rate 09,Latino Diag 09,Latino Diag Rate 09,Multi Diag 09,Multi Diag Rate 09,NH_OPI Diag 09,NH_OPI Diag Rate 09,White Diag 09,White Diag Rate 09,AI_AN Diag 10,AI_AN Diag Rate 10,Asian Diag 10,Asian Diag Rate 10,Black Diag 10,Black Diag Rate 10,Latino Diag 10,Latino Diag Rate 10,Multi Diag 10,Multi Diag Rate 10,NH_OPI Diag 10,NH_OPI Diag Rate 10,White Diag 10,White Diag Rate 10,AI_AN Diag 11,AI_AN Diag Rate 11,Asian Diag 11,Asian Diag Rate 11,Black Diag 11,Black Diag Rate 11,Latino Diag 11,Latino Diag Rate 11,Multi Diag 11,Multi Diag Rate 11,NH_OPI Diag 11,NH_OPI Diag Rate 11,White Diag 11,White Diag Rate 11,AI_AN Diag 12,AI_AN Diag Rate 12,Asian Diag 12,Asian Diag Rate 12,Black Diag 12,Black Diag Rate 12,Latino Diag 12,Latino Diag Rate 12,Multi Diag 12,Multi Diag Rate 12,NH_OPI Diag 12,NH_OPI Diag Rate 12,White Diag 12,White Diag Rate 12,AI_AN Diag 13,AI_AN Diag Rate 13,Asian Diag 13,Asian Diag Rate 13,Black Diag 13,Black Diag Rate 13,Latino Diag 13,Latino Diag Rate 13,Multi Diag 13,Multi Diag Rate 13,NH_OPI Diag 13,NH_OPI Diag Rate 13,White Diag 13,White Diag Rate 13,AI_AN Diag 14,AI_AN Diag Rate 14,Asian Diag 14,Asian Diag Rate 14,Black Diag 14,Black Diag Rate 14,Latino Diag 14,Latino Diag Rate 14,Multi Diag 14,Multi Diag Rate 14,NH_OPI Diag 14,NH_OPI Diag Rate 14,White Diag 14,White Diag Rate 14,AI_AN Diag 15,AI_AN Diag Rate 15,Asian Diag 15,Asian Diag Rate 15,Black Diag 15,Black Diag Rate 15,Latino Diag 15,Latino Diag Rate 15,Multi Diag 15,Multi Diag Rate 15,NH_OPI Diag 15,NH_OPI Diag Rate 15,White Diag 15,White Diag Rate 15,AI_AN Diag 16,AI_AN Diag Rate 16,Asian Diag 16,Asian Diag Rate 16,Black Diag 16,Black Diag Rate 16,Latino Diag 16,Latino Diag Rate 16,Multi Diag 16,Multi Diag Rate 16,NH_OPI Diag 16,NH_OPI Diag Rate 16,White Diag 16,White Diag Rate 16,AI_AN Diag 17,AI_AN Diag Rate 17,Asian Diag 17,Asian Diag Rate 17,Black Diag 17,Black Diag Rate 17,Latino Diag 17,Latino Diag Rate 17,Multi Diag 17,Multi Diag Rate 17,NH_OPI Diag 17,NH_OPI Diag Rate 17,White Diag 17,White Diag Rate 17,AI_AN Diag 18,AI_AN Diag Rate 18,Asian Diag 18,Asian Diag Rate 18,Black Diag 18,Black Diag Rate 18,Latino Diag 18,Latino Diag Rate 18,Multi Diag 18,Multi Diag Rate 18,NH_OPI Diag 18,NH_OPI Diag Rate 18,White Diag 18,White Diag Rate 18
Comanche County KS,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0
Comanche County OK,0,0,0,0,5,31.5,,,,,0,0,,,0,0,0,0,7,43.9,,,0,0,0,0,,,,,0,0,6,35.4,,,,,0,0,,,0,0,0,0,,,,,,,0,0,,,0,0,,,,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,0,0,0,0,0,0,,,,,0,0,,,,,0,0,0,0,8,13.3,,,0,0,,,,,,,0,0,6,10.2,,,0,0,,,5,41.9,0,0,0,0,,,0,0,0,0,,,,,,,0,0,5,8.7
Comanche County TX,,,,,,,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0
Concho County TX,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,236.1,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0
Concordia Parish LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conecuh County AL,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conejos County CO,,,,,,,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0
Contra Costa County CA,,,,,31,40.6,32,18.6,,,,,30,6.7,,,,,33,42.4,35,19.6,,,,,35,7.8,,,,,36,46.1,26,13.5,,,,,29,6.6,,,,,38,48,26,13.2,,,,,24,5.4,,,6,4.4,26,32.6,23,11.4,,,,,30,6.8,,,5,3.5,20,24.7,16,7.7,,,,,25,5.6,,,14,9.4,27,32.9,30,14.1,,,,,30,6.7,,,5,3.2,19,22.8,28,12.9,,,,,32,7.1,,,10,6.2,27,32.2,38,17.1,,,,,39,8.7,,,9,5.4,27,31.9,32,14.1,,,,,34,7.7,,,11,6.4,35,41,34,14.7,,,,,25,5.7
Converse County WY,0,0,,,,,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,,0,0,,,,,,,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0
Conway County AR,,,,,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,
Cook County GA,,,,,,,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,,,0,0
Cook County IL,,,,,766,71.5,274,30.9,,,,,234,11.3,,,,,705,65.8,255,28.1,,,,,227,10.9,,,,,654,63,242,25.9,,,,,236,11.7,,,,,611,58.9,258,27.1,,,,,209,10.4,,,,,634,61.1,269,27.8,,,,,253,12.6,,,,,610,58.8,270,27.5,,,,,232,11.5,,,,,578,55.9,263,26.4,,,,,216,10.8,,,,,622,60.6,256,25.4,,,,,209,10.5,,,,,626,61.5,246,24.2,,,,,168,8.6,,,,,520,51.6,211,20.6,,,,,184,9.5,,,,,538,53.8,228,22,,,,,162,8.4
Cook County MN,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0
Cooke County TX,,,0,0,0,0,0,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooper County MO,,,,,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,,,,,0,0,0,0,0,0,,,0,0,,,,,0,0,0,0,0,0,,,0,0,,,,,0,0,0,0,0,0,,,0,0,,,,,0,0,0,0,0,0,,,0,0,,,,,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,,,,,0,0,0,0,0,0,,,0,0
Coos County NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coos County OR,,,0,0,0,0,0,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,7,14.5
Coosa County AL,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,
Copiah County MS,,,,,,,,,,,,,,,,,,,7,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,42.6,0,0,0,0,,,,,,,,,6,51.4,0,0,0,0,,,,,,,,,5,42.7,0,0,,,,,0,0,,,,,8,67.1,0,0,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,5,41.8,0,0,0,0,,,,,,,,,,,,,0,0,,,0,0
Corson County SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cortland County NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coryell County TX,0,0,0,0,9,74,5,62.3,,,,,5,13.5,0,0,0,0,,,,,,,0,0,7,19.1,0,0,0,0,,,,,,,0,0,,,0,0,0,0,,,,,,,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,8,21.6,0,0,,,,,,,0,0,0,0,5,13.6
Coshocton County OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,,,0,0,,,,,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,
Costilla County CO,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0
Cottle County TX,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0
Cotton County OK,0,0,,,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,0,0
Cottonwood County MN,,,0,0,,,0,0,,,,,0,0,,,0,0,,,0,0,,,,,0,0,,,0,0,,,0,0,,,,,0,0,,,0,0,,,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,,,0,0,,,0,0,,,0,0,,,,,0,0
Covington City VA,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0
Covington County AL,,,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,0,,,5,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covington County MS,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,
Coweta County GA,0,0,0,0,10,58.5,0,0,0,0,,,,,0,0,0,0,12,67.6,,,,,,,,,0,0,0,0,,,,,,,,,5,6.5,0,0,0,0,6,34.1,,,,,,,7,9,0,0,0,0,7,39,,,,,,,7,8.9,0,0,0,0,5,27.1,,,,,,,,,0,0,0,0,7,36.8,,,0,0,,,,,0,0,0,0,12,61.9,,,0,0,,,,,0,0,0,0,9,45,0,0,,,,,,,0,0,0,0,7,34,,,,,,,,,0,0,0,0,8,37.8,,,0,0,,,,
Cowley County KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Cowlitz County WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Craig County OK,0,0,,,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,
Craig County VA,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0
Craighead County AR,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,6,9.1,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,0,,,,,,,0,0,7,57.3,0,0,0,0,,,5,7.2,,,0,0,5,38.8,0,0,0,0,,,6,8.6
Crane County TX,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0
Craven County NC,0,0,0,0,8,42.7,,,0,0,,,5,8.8,0,0,,,15,79.9,0,0,0,0,,,,,0,0,,,12,64.7,,,0,0,,,,,0,0,0,0,15,81.9,0,0,0,0,,,,,0,0,0,0,7,38.5,0,0,,,,,6,9.9,0,0,0,0,,,,,0,0,,,6,10.1,0,0,0,0,7,38.7,0,0,,,,,5,8.4,0,0,,,10,55.6,0,0,,,,,0,0,0,0,,,13,72.5,0,0,0,0,,,,,0,0,,,8,44.7,0,0,0,0,,,,,0,0,0,0,7,39.2,0,0,,,0,0,,
Crawford County AR,,,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,,,5,11.3,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,5,11.3,,,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,
Crawford County GA,,,,,9,383,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,12,516.4,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawford County IA,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,0,,,0,0,0,0,0,0,,,,,0,0,,,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawford County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawford County IN,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,,,,,,,,
Crawford County KS,,,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,,,0,0
Crawford County MI,,,,,0,0,0,0,0,0,,,0,0,,,,,0,0,0,0,0,0,,,0,0,,,,,,,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,0,0,,,0,0
Crawford County MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,0,0,,,0,0,,,,,,,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,,0,0
Crawford County OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawford County PA,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,5,7,,,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawford County WI,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0
Creek County OK,,,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crenshaw County AL,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0
Crisp County GA,,,0,0,10,136.6,0,0,,,,,0,0,,,0,0,7,95,,,,,,,0,0,,,0,0,13,170.2,0,0,,,,,0,0,,,0,0,8,100.2,0,0,,,,,0,0,,,0,0,11,137.9,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,0,0,7,89.6,0,0,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,7,89.1,0,0,0,0,,,,,,,0,0,5,63.8,0,0,0,0,,,0,0,,,0,0,6,76.7,0,0,0,0,,,,
Crittenden County AR,0,0,0,0,15,78,0,0,0,0,,,,,0,0,0,0,12,61.7,,,,,,,0,0,,,0,0,9,45.7,,,,,,,,,,,0,0,9,45.7,0,0,0,0,,,0,0,,,0,0,7,35.7,0,0,0,0,,,0,0,0,0,0,0,15,76,,,0,0,,,0,0,,,0,0,10,50.6,,,0,0,,,,,,,0,0,6,30.4,0,0,0,0,,,0,0,0,0,0,0,5,24.9,,,0,0,,,,,,,0,0,6,29.8,0,0,0,0,,,0,0,0,0,0,0,13,64.4,,,0,0,,,,
Crittenden County KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crockett County TN,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,,,,,0,0,0,0,0,0,,,0,0,,,,,0,0,0,0,0,0,,,0,0
Crockett County TX,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0
Crook County OR,0,0,,,,,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,0,,,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,0,,,0,0
Crook County WY,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,,,,0,0,,,,,0,0
Crosby County TX,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,,,0,0,0,0,,,,,0,0
